EDU1CDL,21ST CENTURY DIGITAL LEARNERS 
CHE1C1A,CHEMISTRY 1A 
CHE1C1B,CHEMISTRY 1B 
CHE3EAC,CHEMISTRY AND THE ENVIRONMENT 
CHE1CHF,CHEMISTRY FOUNDATIONS 
DTN1CFC,CHEMISTRY OF FOOD AND COOKING 
CHE5PRA,CHEMISTRY RESEARCH PROJECT A 
CHE5PRB,CHEMISTRY RESEARCH PROJECT B 
EDU4CH2,CHEMISTRY SECONDARY CURRICULUM 2 
EDU1CAD,CHILD AND ADOLESCENT DEVELOPMENT 
EDU5CDF,CHILD DEVELOPMENT AND FAMILY ENGAGEMENT 
EDU2CD,CHILD DEVELOPMENT: BABY TO TODDLER 
LIN3CLD,CHILD LANGUAGE DEVELOPMENT 
ANT2CAC,"CHILDHOOD , YOUTH AND CULTURE "
ABS3CRN,"CHILDHOOD, RACE AND NATION "
EDU3CAA,CHILDREN AND THE ARTS 
EDU3CWC,CHILDREN WHO CHALLENGE 
CHI2CCD,CHINA AND CULTURAL DIFFERENCES 
POL2CCW,CHINA IN THE WORLD: A RE-EMERGING GLOBAL POWER 
CHI1001,CHINESE 1 
CHI1002,CHINESE 2 
CHI2003,CHINESE 3 
CHI2004,CHINESE 4 
CHI3005,CHINESE 5 
CHI3006,CHINESE 6 
CHI4007,CHINESE 7 
CHI4008,CHINESE 8 
CHI4HON,CHINESE HONOURS THESIS 
CHI4HNJ,CHINESE HONOURS THESIS JOINT PART-TIME 
CHI4HNP,CHINESE HONOURS THESIS PART-TIME 
CHI3CIC,CHINESE IN-COUNTRY: AUSTRALIA CHINA STUDENT FORUM 
CHI4LNA,CHINESE LANGUAGE 4A 
CHI4LNB,CHINESE LANGUAGE 4B 
CHI2CMT,CHINESE MODERN TEXTS 
PTY5CDM,CHRONIC DISEASE MANAGEMENT 
NSG4CHI,CHRONIC ILLNESS NARRATIVES 
HLT3CCS,CHRONIC SELF MANAGEMENT 
PLA5CAR,"CITIES AND REGIONS: PLANNING, DEVELOPMENT AND MANAGEMENT "
OED3CSE,CITY STUDIO AND ENVIRONMENTAL DIALOGUE 
LAW5CVP,CIVIL DISPUTE RESOLUTION 
CIV3CPM,CIVIL ENGINEERING PROJECT MANAGEMENT 
LAW2CIV,CIVIL PROCEDURE 
HIS2ACR,CIVIL RIGHTS HISTORIES: CHASING FREEDOMS 
CAH3CLM,CLASSICAL MYTHOLOGY 
CAH2CLM,CLASSICAL MYTHOLOGY 
PHY2CLP,CLASSICAL PHYSICS 
EDU5CSD,CLASSROOM MANAGEMENT AND STUDENT RESPONSIBILITY 
ENV2EGL,CLIMATE CHANGE AND LANDSCAPE EVOLUTION 
ENV3EGL,CLIMATE CHANGE AND LANDSCAPE EVOLUTION 
ECO3CCE,CLIMATE CHANGE ECONOMICS AND POLICY 
LAW3CCL,CLIMATE LAW 
ENV2CSS,"CLIMATE, SUSTAINABILITY AND SOCIETY "
ENV1CSS,"CLIMATE, SUSTAINABILITY AND SOCIETY "
HBS2CAN,CLINICAL ANATOMY AND NEUROSCIENCES 
POR3CAT,CLINICAL ASSESSMENT TECHNIQUES 
AUD5CAD,CLINICAL AUDIOLOGY D 
NSG4CAD,CLINICAL AUDIT DEVELOPMENT 
BIO3CBH,CLINICAL BIOCHEMISTRY AND HAEMATOLOGY 
POD4CBP,CLINICAL BIOMECHANICS IN PODIATRY 
SPE1CBM,CLINICAL BIOMECHANICS OF MOVEMENT 
DEN4CDP,CLINICAL DENTAL PRACTICE 
DEN5CDP,CLINICAL DENTAL PRACTICE 
HIM5CDI,CLINICAL DOCUMENTATION IMPROVEMENT 
POR5CEA,CLINICAL EDUCATION IN PROSTHETICS AND ORTHOTICS A 
ELE4CLN,CLINICAL ENGINEERING 
PTY6CEA,CLINICAL EVALUATION A 
ORT6CEA,CLINICAL EVALUATION A 
SWP6CEA,CLINICAL EVALUATION A 
SWP6CEB,CLINICAL EVALUATION B 
ORT6CEB,CLINICAL EVALUATION B 
PTY6CEB,CLINICAL EVALUATION B 
PHE6CEB,CLINICAL EVALUATION B 
PTY6CEC,CLINICAL EVALUATION C 
PTY6CED,CLINICAL EVALUATION D 
POR4CFA,CLINICAL FOOT ANKLE ORTHOTICS 
PSY1CFP,CLINICAL FOUNDATIONS OF PSYCHOLOGICAL SCIENCE 
NSM5CIA,CLINICAL INTERNSHIP FOR NURSE PRACTITIONER A 
NSM5CIB,CLINICAL INTERNSHIP FOR NURSE PRACTITIONER B 
LAW3CLE,CLINICAL LEGAL EDUCATION 
PHA4MSU,CLINICAL MANAGEMENT OF SUBSTANCE ABUSE 
PSY5PNA,CLINICAL NEUROPSYCHOLOGY PRACTICUM A 
PSY5PNB,CLINICAL NEUROPSYCHOLOGY PRACTICUM B 
PSY5PNC,CLINICAL NEUROPSYCHOLOGY PRACTICUM C 
PSY5PND,CLINICAL NEUROPSYCHOLOGY PRACTICUM D 
PSY3CNN,CLINICAL NEUROSCIENCE AND NEUROPSYCHOLOGY 
PSY5NPM,CLINICAL NEUROSCIENCE AND NEUROPSYCHOLOGY 
ORH2COH,CLINICAL ORAL HEALTH PRACTICE 
POR3COF,CLINICAL ORTHOTIC MANAGEMENT OF THE FOOT 
POR1COF,CLINICAL ORTHOTICS 1 
POR3CPE,CLINICAL PRACTICE AND ENGAGEMENT 
NSM5CPR,CLINICAL PRACTICE DEVELOPMENT 
EXS5CEP,CLINICAL PRACTICE FOR EXERCISE PHYSIOLOGY 
MMH5CPM,CLINICAL PRACTICE IN MENTAL HEALTH 1 
MMH5CPH,CLINICAL PRACTICE IN MENTAL HEALTH 2 
PSY5PCA,CLINICAL PRACTICUM A 
PSY5PCB,CLINICAL PRACTICUM B 
PSY5PCC,CLINICAL PRACTICUM C 
PSY5PCD,CLINICAL PRACTICUM D 
NSM5CLP,CLINICAL PROJECT 
PSY5CAB,CLINICAL PSYCHOLOGY CASE ANALYSIS B 
PSY5CPC,CLINICAL PSYCHOLOGY PRACTICUM C 
PSY5CPE,CLINICAL PSYCHOLOGY PRACTICUM E 
NSM5CQI,CLINICAL QUALITY IMPROVEMENT 
PTY5CRP,CLINICAL REASONING IN PHYSIOTHERAPY 
POR3CTT,CLINICAL TRANSTIBIAL PROSTHETICS 
PSY3RTP,CLOSE RELATIONSHIPS: THEORY AND PRACTICE 
CSE1CFX,CLOUD FOUNDATIONS 
PSY2COG,COGNITION 
PSY5COG,COGNITIVE BEHAVIOURAL THERAPY 
NSM4CPM,COLLABORATIVE PRACTICE IN MIDWIFERY 
EMS4COI,COMMERCIALISING INNOVATION 
LAW3CII,"COMMISSIONS, INQUESTS AND INQUIRIES "
AGR3CRM,COMMODITY RISK MANAGEMENT 
MID3CCM,COMMON COMPLEXITIES IN MATERNITY CARE 
LAW5CLM,COMMON LAW AND THE AUSTRALIAN LEGAL SYSTEM 
HLT1CHS,COMMUNICATING IN HEALTH SCIENCES 
HBS3CSH,COMMUNICATING SCIENCE AND HEALTH 
LAW2CAS,COMMUNICATION AND ADVOCACY SKILLS 
HCS2CSL,COMMUNICATION AND SWALLOWING ACROSS THE LIFESPAN 
HCS1CDH,"COMMUNICATION DISORDERS - HISTORY, ATTITUDES AND INNOVATIONS "
VET1CVT,COMMUNICATION FOR THE VETERINARY TEAM 
ELE4NET,COMMUNICATION NETWORKS 
PHE2CPR,COMMUNICATION PROCESS FOR REHABILITATION 
CSE5CPE,COMMUNICATION PROTOCOL ENGINEERING 
PHE3COS,COMMUNICATION SKILLS IN HEALTHCARE 
ELE5FCM,COMMUNICATION SYSTEMS 
ELE3CMN,COMMUNICATION SYSTEMS 
STC3CTA,COMMUNICATION THEORY AND ANALYSIS 
LIN1CLC,"COMMUNICATION, LANGUAGE AND CULTURE "
EDU3CIC,COMMUNICATIONS FOR INCLUSIVE CONTEXTS 
DTN5CPH,COMMUNITY AND PUBLIC HEALTH NUTRITION 
DTN5CPC,COMMUNITY AND PUBLIC HEALTH NUTRITION C 
PHE5SDS,COMMUNITY BASED HEALTH SERVICE DELIVERY SYSTEMS 
NSM4CCH,COMMUNITY CHILD HEALTH 
ALH3CEE,COMMUNITY ENGAGEMENT EXPERIENCE 
PHE2CHP,COMMUNITY HEALTH PROMOTION 
PHE4CHP,COMMUNITY HEALTH RESEARCH PROJECT 
PLA5CD,COMMUNITY PLANNING & DEVELOPMENT 
SWP1SPV,COMMUNITY SERVICE PROGRAMS 
SWP1CMV,COMMUNITY SERVICES APPLIED CASE MANAGEMENT 
SWP1ARV,COMMUNITY SERVICES ASSESSMENT AND REFERRAL 
SWP1CEV,COMMUNITY SERVICES CLIENT ENGAGEMENT 
SWP1COV,COMMUNITY SERVICES COUNSELLING FRAMEWORK 
SWP1MDV,COMMUNITY SERVICES MANAGING DIVERSITY 
SWP1PPV,COMMUNITY SERVICES PROFESSIONAL PRACTICE A 
SWP1IPV,COMMUNITY SERVICES PROFESSIONAL PRACTICE B 
SWP1TCV,COMMUNITY SERVICES TEAM COMMUNICATION 
SWP1WCV,COMMUNITY SERVICES WORK PLACE COMMUNICATION 
SWP1WSV,COMMUNITY SERVICES WORKPLACE SUPPORT 
LAW3CMP,COMPANY LAW 
CPH5CHS,COMPARATIVE AND HISTORICAL STUDY OF HEALTH SYSTEMS 
PHE5CHS,COMPARATIVE AND HISTORICAL STUDY OF HEALTH SYSTEMS 
LAW3CTL,COMPARATIVE COUNTER-TERRORISM LAW 
LAW3CDR,COMPARATIVE DISPUTE RESOLUTION 
LAW5WLT,COMPARATIVE LEGAL TRADITIONS 
ECO3CMF,COMPETITION AND MARKET FAILURE 
LAW3CPL,COMPETITION POLICY & LAW 
MAT3CZ,COMPLEX ANALYSIS 
NSM5COM,COMPLEX CARE IN MATERNAL AND CHILD HEALTH NURSING 
MID4CNM,COMPLEX NEEDS IN MATERNITY CARE 
PAR3CTM,COMPLEX TRAUMA MANAGEMENT 
MAT5CCC,"COMPLEXITY, CRYPTOGRAPHY AND COMPRESSION "
MAT4CI,COMPUTABILITY AND INTRACTABILITY 
STM3CS,COMPUTATION AND SIMULATION 
FIN3CLF,COMPUTATIONAL FINANCE 
CSE3CI,COMPUTATIONAL INTELLIGENCE FOR DATA ANALYTICS 
CSE3CIX,COMPUTATIONAL INTELLIGENCE FOR DATA ANALYTICS 
CSE5CI,COMPUTATIONAL INTELLIGENCE FOR DATA ANALYTICS 
EMS1CAD,COMPUTER AIDED DESIGN 
EMS5CAE,COMPUTER AIDED ENGINEERING (ANSYS) 
EMS5CAT,COMPUTER AIDED ENGINEERING (CATIA) 
CSE5CFN,COMPUTER FORENSICS 
CSE4CG,COMPUTER GRAPHICS 
CSE2CN,COMPUTER NETWORKS 
CSE2CNX,COMPUTER NETWORKS 
THS2TCR,COMPUTER RESERVATION SYSTEMS 
SSC4CSS,CONCEPTUALISING THE SOCIAL SCIENCES: KEY CONCEPTS AND DEBATES 
LAW5CON,CONCILIATION: THEORY & PRACTICE 
ORT3CON,CONCOMITANT STRABISMUS 
OED3CLS,CONNECTING LANDSCAPES 
OED2CLS,CONNECTING LANDSCAPES 
EDU5CLA,CONNECTING LEARNING: TO DEEPEN ARTS AND HUMANITIES LEARNING 
EDU2CT,CONNECTIONS AND TRANSITIONS 
EDU3CAT,CONNECTIONS AND TRANSITIONS: 3-5 YEAR OLD PLACEMENT 
LAS3CAM,"CONQUEST OF THE AMERICAS: AZTECS, MAYA AND INCAS "
POD5CPM,CONSOLIDATED PODIATRIC CASE MANAGEMENT 
LAW5CSL,CONSTITUTIONAL LAW 
LAW5CMT,CONSTITUTIONAL LAW MOOT 
MKT2CBE,CONSUMER BEHAVIOUR 
MKT2CBX,CONSUMER BEHAVIOUR 
ECO2CFC,"CONSUMERS, FIRMS AND COMPETITION "
DST5DAC,CONTEMPORARY APPROACHES TO DEVELOPMENT 
ENG4CAL,CONTEMPORARY APPROACHES TO LITERATURE 
CHI3CCA,CONTEMPORARY CHINESE AND CHINA A : CRITICAL ISSUES 
CHI3CCB,CONTEMPORARY CHINESE AND CHINA B : CRITICAL ISSUES 
EDU5CED,CONTEMPORARY EDUCATION 
SWP1CHS,CONTEMPORARY HUMAN SERVICES 
PHE5CHC,CONTEMPORARY HUMANISTIC COUNSELLING 
HBS5CIE,"CONTEMPORARY ISSUES IN ERGONOMICS, SAFETY AND HEALTH "
LAW5CIG,CONTEMPORARY ISSUES IN GLOBAL BUSINESS LAW 
LIN3CTL,CONTEMPORARY ISSUES IN LINGUISTICS 
HLT1CSS,CONTEMPORARY ISSUES IN SEX AND SEXUALITY 
SPE1CSC,CONTEMPORARY ISSUES IN SPORT COACHING 
EDU4CLT,CONTEMPORARY LEARNING THEORIES 
POL2PPE,CONTEMPORARY POLITICAL ECONOMY 
POL2CPA,CONTEMPORARY POLITICS OF NORTHEAST ASIA 
PHE6CTD,CONTEMPORARY THEORETICAL DEBATES IN PUBLIC HEALTH 
ART3RES,CONTEMPORARY VISUAL CULTURES 
MSS2CFI,CONTEMPORARY WORLD CINEMA 
EDU5CIE,CONTENTIONS IN INCLUSIVE EDUCATION 
EDU4COE,CONTEXT OF EDUCATION 
LAW5CNA,CONTRACT LAW A 
LAW2CTA,CONTRACT LAW A 
LAW2CTB,CONTRACT LAW B 
LAW5CNB,CONTRACT LAW B 
LAW5CCT,CONTRACTS FOR THE COMMERCIALISATION OF TECHNOLOGY 
VU21034,CONTRIBUTE TO STRATEGIES FOR COMMUNITY ENGAGEMENT 
VU22270,CONTRIBUTE TO STRATEGIES FOR COMMUNITY ENGAGEMENT 
VU21035,CONTRIBUTE TO THE CONSERVATION OF CULTURAL HERITAGE PLACES 
VU22269,CONTRIBUTE TO THE CONSERVATION OF CULTURAL HERITAGE PLACES 
ELE3CTS,CONTROL SYSTEMS 
LCR3CLF,CORONIAL LAW AND FORENSICS 
MGT5CAC,CORPORATE ACCOUNTABILITY 
FIN3CFI,CORPORATE FINANCE 
MGT5GOV,CORPORATE GOVERNANCE 
BUA5CG,CORPORATE GOVERNANCE 
BUO5CG,CORPORATE GOVERNANCE 
LAW3CGP,CORPORATE GOVERNANCE IN PUBLICLY LISTED COMPANIES 
ACC2CRE,CORPORATE REPORTING 
IBU5COV,CORPORATE VENTURING 
LAW5CPL,CORPORATIONS LAW 
ACC2CAD,COST ACCOUNTING AND DECISION MAKING 
EMS5CE,COST ENGINEERING 
PSY5COU,COUNSELLING AND PROFESSIONAL ISSUES 
PSY5MXC,COUNSELLING PSYCHOLOGY MASTERS RESEARCH C 
PSY5MXD,COUNSELLING PSYCHOLOGY MASTERS RESEARCH D 
ACC5CBI,CPA CONTEMPORARY BUSINESS ISSUES 
ACC5ETG,CPA ETHICS AND GOVERNANCE 
ACC5FRP,CPA FINANCIAL REPORTING 
ACC5FRM,CPA FINANCIAL RISK MANAGEMENT 
ACC5GSL,CPA GLOBAL STRATEGY & LEADERSHIP 
ACC5SMA,CPA STRATEGIC MANAGEMENT ACCOUNTING 
DEN2CGD,CRANIOFACIAL GROWTH AND DEVELOPMENT 
HIS2CMA,CREATING MODERN AUSTRALIA 
EDU4CPL,CREATING POSITIVE LEARNING ENVIRONMENTS 
CRA4HNJ,CREATIVE ARTS 4 
CRA4HNP,CREATIVE ARTS 4 
CRA4HON,CREATIVE ARTS 4 
CRA4EXE,CREATIVE ARTS HONOURS EXEGESIS 
CRA4THE,CREATIVE ARTS HONOURS THESIS (PRACTICE) 
CRA4CTE,CREATIVE ARTS HONOURS THESIS HUSS 
CRA3SHF,CREATIVE ARTS SHOPFRONT 1 
ENG2CNF,CREATIVE NON FICTION 
EDU1CP,CREATIVE PLAY 
CRA3CRC,CREATIVE/CRITICAL 
FIN5CRM,CREDIT RISK MANAGEMENT 
EMS5CRE,CREO-PARAMETRICS 
LST3SLR,CRIME AND SOCIO-LEGAL RESEARCH 
LST2CCL,"CRIME, BODIES, CULTURE "
LAW3CJU,CRIMINAL JUSTICE 
LCR1CLC,CRIMINAL LAW FOR CRIMINAL JUSTICE PROFESSIONALS 
LAW3CLP,CRIMINAL LAW POLICY AND REFORM 
LCR3ETA,"CRIMINAL LAW, ETHICS AND ACCOUNTABILITY "
LCR4TH,CRIMINOLOGY HONOURS THESIS 
LCR3INT,CRIMINOLOGY INTERNSHIP 
LCR1CSS,CRIMINOLOGY SKILLS 
LCR4CSR,"CRIMINOLOGY UNDER THE SPOTLIGHT: READINGS, RESEARCH AND POLICY "
HCS5CIE,CRITICAL IMPLEMENTATION OF THE EVIDENCE 
EDU0CT4,CRITICAL INQUIRY 
AST3CIA,CRITICAL ISSUES IN CONTEMPORARY ASIA 
NSM4CNE,CRITICAL NURSING ESSENTIALS 
EDU5PCL,CRITICAL PERSPECTIVES IN CURRICULUM LEADERSHIP 
EDU0CT3,CRITICAL REASONING 
BUA5PSD,CRITICAL SKILLS FOR SUCCESS 
BUO5PSD,CRITICAL SKILLS FOR SUCCESS 
LST3CSR,CRITICAL SOCIAL RESEARCH 
EDU0CRT,CRITICAL THINKING 
PHI1CTO,CRITICAL THINKING AND INNOVATION 
STA1CTS,CRITICAL THINKING WITH STATISTICS 
SPA2CSP,CUBA: THE SPECIAL PERIOD 
ARC3MAN,CULTURAL HERITAGE MANAGEMENT 
PHE5CRP,CULTURALLY RESPONSIVE PRACTICE 
EDU5CIP,CULTURE & INDIGENOUS PERSPECTIVES 
ANT3CAE,CULTURE AND ENVIRONMENT: ANTHROPOLOGICAL APPROACHES TO ENVIRONMENTAL ISSUES 
ANT3CEL,CULTURE AND EVERYDAY LIFE 
ANT1CAG,CULTURE AND GLOBALISATION: INTRODUCTION TO ANTHROPOLOGY 
EDU3CIP,CULTURE AND INDIGENOUS PERSPECTIVES 
ANT2CIA,CULTURE AND POWER: CORE ISSUES IN ANTHROPOLOGY 
ANT3CHH,"CULTURE, HEALTH AND HEALING "
SOC3SOC,"CULTURE, MEANING AND SOCIAL LIFE "
PHE3CSG,"CULTURE, SOCIETY, GENDER AND HEALTH "
LAW5CIJ,CURRENT ISSUES IN JURISPRUDENCE 
LAW5CBP,CURRENT ISSUES IN TRANSNATIONAL PRACTICE 
EDU2CAA,CURRICULUM AND ASSESSMENT 
EDU4CAA,CURRICULUM AND ASSESSMENT 
EDU4CDI,CURRICULUM DESIGN AND IMPLEMENTATION 
EDU4CDD,CURRICULUM DEVELOPMENT AND DESIGN 
EDU3CFM,CURRICULUM FOCUSSED METHOD 
EDU1CLD,CURRICULUM FOR LEARNING AND DEVELOPMENT 
EDU4CTL,"CURRICULUM, TEACHING AND LEARNING "
BUS5CA,CUSTOMER ANALYTICS AND SOCIAL MEDIA 
MKT5CED,CUSTOMER EXPERIENCE DESIGN 
MKT5CRM,CUSTOMER RELATIONSHIP MANAGEMENT 
POD1CSF,CUTANEOUS SCIENCE OF THE FOOT 
POD3CSF,CUTANEOUS SCIENCE OF THE FOOT 
CYB5CYA,CYBER ALGORITHMS 
CSE1ACF,CYBER ALGORITHMS THAT CHANGED THE FUTURE 
LAW5CYB,CYBER LAW 
LAW2CLP,CYBER LAW AND POLICY 
CSE5CRM,CYBER RISK MANAGEMENT AND COMPLIANCE 
CSE5CSP,CYBER SECURITY PRINCIPLES 
LAW5CTW,CYBER TERRORISM AND INTERNATIONAL WARFARE 
CSE3CSX,CYBERSECURITY FUNDAMENTALS 
CSE5CSG,CYBERSECURITY GOVERNANCE 
CSE1CPR,CYBERSECURITY IN PRACTICE 
CSE5ISM,CYBERSECURITY INCIDENT MANAGEMENT 
MGT2MRM,CYBERSECURITY OPERATIONS MANAGEMENT AND RISK 
CSE5CPD,CYBERSECURITY PROGRAM DEVELOPMENT AND MANAGEMENT 
BUS2DAC,DATA ANALYTICS CONCEPTS 
CSE5DEV,DATA EXPLORATION AND ANALYSIS 
CSE5DMI,DATA MINING 
CSE5DNS,DATA NETWORK SECURITY 
LAW5PRI,DATA PROTECTION LAW 
SPE2DSS,DATA SCIENCE AND STATISTICS FOR SPORT 
CSE2SIA,DATA SECURITY AND INFORMATION ASSURANCE 
CSE5DWD,DATA WAREHOUSE CONCEPTS AND DESIGN 
BUS5WB,DATA WAREHOUSING AND BIG DATA 
BUS5DWR,DATA WRANGLING AND R 
STA1DCT,DATA-BASED CRITICAL THINKING 
BUA5BAM,DATA-DRIVEN BUSINESS ANALYSIS 
BUO5BAM,DATA-DRIVEN BUSINESS ANALYSIS 
CSE2DBX,DATABASE FUNDAMENTALS 
CSE4DBF,DATABASE FUNDAMENTALS 
CSE2DBF,DATABASE FUNDAMENTALS 
CSE2DCX,DATABASE FUNDAMENTALS ON THE CLOUD 
CSE3DMS,DATABASE MANAGEMENT SYSTEMS 
CAH3DTH,"DEATH, BURIAL AND AFTERLIFE "
CAH2DTH,"DEATH, BURIAL AND AFTERLIFE "
PHE3DDB,"DEATH, DYING AND GRIEF "
LAW2DDL,"DEATH, DYING AND LAW "
ENG1DPL,"DEATH, PLEASURE AND THE LITERARY IMAGINATION "
GSD2DED,DEBATING DIFFERENCE: TROUBLING IDENTITY CATEGORIES 
FIN5DBS,DEBT SECURITIES 
SWP5DTR,"DECISION MAKING, THINKING CLEARLY AND REFLECTIVE INSIGHT "
SWP6DTR,"DECISION MAKING, THINKING CLEARLY AND REFLECTIVE INSIGHT "
CSE5DSS,DECISION SUPPORT SYSTEMS 
POL2DPS,"DELIBERATION, PARTICIPATION, STATECRAFT "
SWP5ROF,DELIVERING RESULTS AND OUTCOME FOCUS 
GER5DCM,DEMENTIA CARE - A MULTIDIMENSIONAL APPROACH 
POL1AUP,DEMOCRACIES AND DICTATORSHIPS: INTRODUCTION TO POLITICS 
POL2DEM,DEMOCRACY IN RETREAT? FAILED TRANSITIONS AND THE NEW AUTHORITARIANISM 
POL3DEM,DEMOCRACY IN RETREAT? FAILED TRANSITIONS AND THE NEW AUTHORITARIANISM 
DEN5DPT,DENTAL PRACTICE THEORY 
DEN1DSA,DENTAL SCIENCE A 
DEN1DSB,DENTAL SCIENCE B 
DEN4DTH,DENTAL THEORY 
DEN2DPH,DENTISTRY PUBLIC HEALTH & PREVENTIVE PRACTICE 
FIN2FDR,DERIVATIVE SECURITIES 
FIN3FDR,DERIVATIVE SECURITIES 
FIN5DER,DERIVATIVE SECURITIES 
PHI3DTK,DESCARTES TO KANT 
EDU3DT,DESIGN AND TECHNOLOGY 
ELE4DFM,DESIGN FOR MANUFACTURE 
CIV5DSD,DESIGN FOR STRUCTURAL DYNAMICS 
EDU2DEC,DESIGNING EARLY CHILDHOOD CURRICULUM 
EDU5DLL,DESIGNING LANGUAGE LEARNING EXPERIENCES 
EDU5DLP,DESIGNING LANGUAGE LEARNING PROGRAMS 
EDU4HER,DESIGNING RESEARCH IN HIGHER EDUCATION 
THS3DMM,DESTINATION MARKETING AND MANAGEMENT 
PHE6EBP,DEVELOPING AND IMPLEMENTING EVIDENCE-BASED PUBLIC HEALTH PRACTICE 
EDU4HEL,DEVELOPING LEADERSHIP IN AN ACADEMIC SETTING 
EDU3DMT,DEVELOPING MATHEMATICAL THINKING 
EDU3PWR,DEVELOPING MULTIMODAL LITERACIES 
MGT5DPP,DEVELOPING PEOPLE AND HIGH PERFORMANCE ORGANISATIONS 
EDU2DTR,DEVELOPING TEACHERS READINESS 
DST5DAE,DEVELOPMENT AND THE ENVIRONMENT 
DST5DIP,DEVELOPMENT IN PRACTICE 
DST3DIP,DEVELOPMENT IN PRACTICE 
PSY2DEV,DEVELOPMENTAL PSYCHOLOGY 
HIM2DTI,DIAGNOSTIC AND THERAPEUTIC INTERVENTIONS 
VET2DIA,DIAGNOSTIC IMAGING AND ANAESTHESIA 
DTN301,DIET DISEASE RELATIONSHIPS 
DTN3DPS,DIETETIC PRACTICE SKILLS 
DTN4DPA,DIETETIC PRACTICE THEORY AND CASE MANAGEMENT A 
ARC3SCI,"DIETS, DATING AND DNA: ARCHAEOLOGICAL SCIENCE "
ARC2DIG,DIGGING ARCHAEOLOGY: AN INTRODUCTION TO ARCHAEOLOGICAL EXCAVATION 
MKT2BBM,DIGITAL BRANDING AND RETAILING 
MKT2BBX,DIGITAL BRANDING AND RETAILING 
BUS3DIG,DIGITAL BUSINESS 
BUS3DBX,DIGITAL BUSINESS 
ELE4DCT,DIGITAL CONTROL THEORY 
ELE2DDP,DIGITAL DESIGN WITH PROGRAMMABLE LOGIC 
JRN5PED,DIGITAL EDITING AND PUBLISHING 
JRN5DEP,DIGITAL EDITING AND PUBLISHING 
ELE3DEC,DIGITAL ELECTRONICS AND CONTROLLERS 
EDU5DEI,DIGITAL ENVIRONMENTS AND INNOVATIONS 
PHA2DHP,DIGITAL HEALTH IN PHARMACY 
JRN5NJD,DIGITAL JOURNALISM 
EDU4DEI,DIGITAL LITERACIES FOR ETHICAL INNOVATIONS 
EDU0DL1,DIGITAL LITERACY 
EMS5DM,DIGITAL MANUFACTURING (INDUSTRY 4.0) 
MKT5DMA,DIGITAL MARKETING 
ELE5DSD,DIGITAL SYSTEM DESIGN 
ANT2DOS,"DIGITAL WORLDS, ONLINE SELVES "
JRN2DIJ,DILEMMAS IN JOURNALISM: LEGAL AND ETHICAL ISSUES 
BUS5DRE,DIRECTED READINGS 
ECO4DRE,DIRECTED READINGS 
ECO3DRE,DIRECTED READINGS 
BUS3DRE,DIRECTED READINGS 
ELE4DIR,DIRECTED STUDY 
CSE4DIR,DIRECTED STUDY 
PHY5DIR,DIRECTED STUDY IN PHYSICS 
LAW5DAL,DISABILITY AND THE LAW 
LAW500,DISABILITY AND THE LAW 
LAW3DRL,DISABILITY RIGHTS AND LAW 
LIN3DAN,DISCOURSE ANALYSIS 
EDU5DAS,DISCOURSE ANALYSIS: SPOKEN AND WRITTEN LANGUAGE IN USE 
MAT1DM,DISCRETE MATHEMATICS 
MAT4DM,DISCRETE MATHEMATICS 
MAT1DIS,DISCRETE MATHEMATICS 
MAT2DMX,DISCRETE MATHEMATICS FOR COMPUTER SCIENCE 
CSE2DMX,DISCRETE MATHEMATICS FOR COMPUTER SCIENCE 
MAT3DSA,DISCRETE STRUCTURES AND ALGORITHMS 
LST2DLA,DISCRIMINATION AND THE LAW 
LAW1DR,DISPUTE RESOLUTION 
LAW4DRE,DISPUTE RESOLUTION 
BUS1DIB,DISRUPTION IN BUSINESS 
HIT1HIT,DISRUPTION: HISTORY OF INNOVATION AND TECHNOLOGY 
EDU1DLC,DIVERSE LEARNING COMMUNITIES 
GSD3DAW,"DIVERSITY AT WORK: ACCESS, EQUITY AND POLICY "
GSD3DDD,DIVERSITY DEMOCRACY DISSENT 
EDU4DGS,"DIVERSITY: RELATIONSHIPS, GENDER AND SEXUALITY "
PSY6DCB,DOCTORAL CLINICAL PSYCHOLOGY PROFESSIONAL STUDIES B 
PSY6DCC,DOCTORAL CLINICAL PSYCHOLOGY PROFESSIONAL STUDIES C 
PSY6DCD,DOCTORAL CLINICAL PSYCHOLOGY PROFESSIONAL STUDIES D 
PSY6DCE,DOCTORAL CLINICAL PSYCHOLOGY PROFESSIONAL STUDIES E 
PSY6DND,DOCTORAL NEUROPSYCHOLOGY PROFESSIONAL STUDIES D 
PSY6DNE,DOCTORAL NEUROPSYCHOLOGY PROFESSIONAL STUDIES E 
PSY6DPB,DOCTORAL PRACTICUM B 
PSY6DPC,DOCTORAL PRACTICUM C 
PSY6DPD,DOCTORAL PRACTICUM D 
PSY6DPE,DOCTORAL PRACTICUM E 
PSY6DTC,DOCTORAL THESIS C 
PSY6DTD,DOCTORAL THESIS D 
PSY6DRE,DOCTORAL THESIS E 
PSY6DTE,DOCTORAL THESIS E 
PSY6DRF,DOCTORAL THESIS F 
PSY6DTF,DOCTORAL THESIS F 
PSY6DTG,DOCTORAL THESIS G 
MSS3DOC,DOCUMENTARY AND PRODUCTION 
ANT3MQA,DOING ANTHROPOLOGY: ETHNOGRAPHIC METHODS 
POL2DOP,DOING POLITICS 
