ABEC313, Early Development 2
JPS114, Introductory Japanese III
JPS121, Japan  Past and Present
JPS124, Japanese Contemporary Culture
JPS130, Introductory Japanese Short Term Residential Program
JPS201, Intermediate Japanese I
JPS202, Intermediate Japanese II
JPS213, Intermediate Japanese Translation and Writing Workshop
JPS221, Modern Japanese Society
JPS222, Exploring Japanese Literature
JPS223, Intertextuality and the Tale of Genji
JPS230, Intermediate Japanese Short Term Residential Program
JPS301, Advanced Japanese I
JPS302, Advanced Japanese II
JPS311, Advanced Spoken Japanese
JPS313, Advanced Japanese Translation and Writing Workshop
JPS314, Reading for Special Purposes
JPS316, Intercultural Perspectives: Japanese and English
JPS324, Manga and Anime as Global Imagery
JPS330, Advanced Japanese Short Term Residential Program
JPS350, Japanese Studies Project
JPS403, Advanced Japanese III
JPS404, Advanced Japanese IV
LAW109, Criminal Justice
LAW115, Foundations of Law
LAW203, Torts
LAW214, Jurisprudence
LAW314, Constitutional Law
LAW315, Administrative Law
LAW448, Animal Law
LAW456, Business Organisations
LAW459, International Law
LAW465, Dispute Management and Resolution
LAW477, Advocacy
LAW496, Special Interest Project
LAW550, Litigation
LAWS104, Contracts
LAWS108," Law, Lawyers and Society"
LAWS216, Property Law
LAWS217, Equity and Trusts
LAWS250," Crime, Policy and Governance"
LAWS256, Business Organisations
LAWS259, International Law
LAWS260," Human Rights, Policy and the Law"
LAWS300," Social Innovation, Governance and Professional Leadership"
LAWS305, Advanced Policy Development and Advocacy
LAWS355, Remedies
LAWS398, Civil and Criminal Procedure
LAWS399, Evidence
LAWS452, International Participation and Community Engagement
LAWS499, Professional and Community Engagement (PACE) OnCampus Consultancy
LAWS502, Family Law
LAWS503, Law and Literature
LAWS504, Advanced Administrative Law
LAWS505, Child/Elder Law
LAWS507, Labour Law
LAWS510, International Trade and Finance
LAWS511, Discrimination and the Law
LAWS512, Advanced Topics in Criminal Justice
LAWS516, European Law
LAWS518, Indigenous Peoples and the Law
LAWS519, International Human Rights Law
LAWS521, Foundations of Commercial Law
LAWS523, Intellectual Property Law
LAWS528, Competition and Consumer Law
LAWS529, Information Technology Law
LAWS530, Jessup International Law Moot
LAWS532, Law and Religion
LAWS533, Law Journals
LAWS536, Modern Corporate Governance
LAWS538, Access to Justice Placement Program
LAWS540, Local Government and Planning Law
LAWS541, Politics and the Constitution
LAWS543, Climate Change Law
LAWS551, Professional and Community Engagement
LAWS553, Taxation
LAWS555," Remedies, Reparations and Resolution in Law"
LAWS556, Succession
LAWS557, Conflict of Laws
LAWS558, Comparative Law
LAWS560, Environmental Law
LAWS561, Advanced Legal Research Project
LAWS562, Law of International Organisations
LAWS564, Advanced Legal Research Project
LAWS569, International Environmental Law
LAWS570, Pleasure and Danger: Sex and the Law
LAWS571, Health Law and Ethics
LAWS572, Advanced Torts
LAWS575, Advanced Topics in Environmental Law
LAWS578, Macquarie University Social Justice Clinic
LAWS579, Refugees and Forced Migration
LAWS580, Human Rights and Moral Dilemmas
LAWS582, Special Seminar 2
LAWS584, Media Law
LAWS586, Law of the Sea
LAWS587, War Law
LAWS588, International Dispute Settlement
LAWS592, Issues in Heritage Conservation
LEX101," Law, Human Rights and Global Governance"
LEX102," Sustainability, Science and the Law"
LING109," Language, Culture and Communication"
LING111, Language: Its Structure and Use
LING120, Exploring English
LING121, Language Myths and Realities
LING214, Introduction to Psycholinguistics
LING217, Introductory Phonetics and Phonology
LING218, Grammar and Meaning
LING219, Introduction to Sociolinguistics
LING220, Syntax
LING248, Social Networking and Online Language
LING288, Making Communication Accessible
LING289, Communication in Social Institutions
LING290," Language, Globalisation and World Englishes"
LING291, Writing in English
LING292, Editing and Publishing in a Multimodal World
LING293, Australia's Indigenous Languages
LING309, Disability and Multimodal Communication
LING324, Bilingualism
LING325, Second Language Teaching and Learning
LING332, Culture and Language
LING334, Child Language Acquisition
LING337, Language of Science and Technology
LING339, Morphosyntax: The Meaningful Components of Words
LING389, Advanced Communication in Social Institutions
LING390, Current Issues in Phonology
LING399, Language as Evidence
MAS104, Australian Media
MAS105, Media Cultures
MAS110, Introduction to Digital Media
MAS111, Introduction to Video Games
MAS202, Screenwriting: An Introduction
MAS203, News and Current Affairs
MAS205, Introduction to the Cinema
MAS206, Radio Production
MAS207, Radio Broadcasting
MAS212, Screen Production 1
MAS213, Screen Production 2
MAS214, Free Cultures
MAS215, Theorising Media
MAS240, Cybercultures
MAS241, Interactive Web Design
MAS302, Media Identities
MAS304," Screens, Images, Ideas"
MAS312, Advanced Screen Production 1
MAS313, Advanced Screen Production 2
MAS314," Screenwriting: Images, Ideas, Stories"
MAS330, Network Cultures
MAS337, Advanced Radio Production and Broadcasting
MAS340, Advanced Interactivity
MAS350, Media Internship
MAS389, Public Relations and Social Media 1
MAS390, Public Relations and Social Media 2
MATH106, A View of Mathematics
MATH109," Sex, Chaos and other Mathematical Pleasures"
MATH111, Quantitative Methods for Science
MATH123, Mathematics 123
MATH130, Mathematics IE
MATH132, Mathematics IA (Advanced)
MATH133, Mathematics IB (Advanced)
MATH135, Mathematics IA
MATH136, Mathematics IB
MATH188, Advanced Topics in Mathematics I
MATH232, Mathematical Techniques
MATH235, Mathematics IIA
MATH236, Mathematics IIB
MATH288, Advanced Topics in Mathematics II
MATH300, Geometry and Topology
MATH331, Waves
MATH332, Nonlinear Dynamics and Chaos
MATH335, Mathematical Methods
MATH336, Partial Differential Equations
MATH337, Algebra IIIA
MATH338, Algebra IIIB
MATH339, Real and Functional Analysis
MATH388, Mathematics III Advanced
MATH399, Participation and Community Engagement in Mathematics
MECH201, Engineering Dynamics
MECH202, Fluid Mechanics
MECH203, Mechanical Design 1
MECH204, Mechanics of Solids
MECH205, Engineering Materials
MECH301, Thermodynamics
MECH302, Heat and Mass Transfer
MECH303, Mechanical Design 2
MECH304, Applied Numerical Engineering
MECH320, Mechanical Engineering for Mechatronics Systems
MECH362, Embedded Mechatronic Engineering
MECH401, Product Design Engineering
MECH402, Energy Sustainable Design
MECH410, Mechanical Engineering Research Thesis A
MECH411, Mechanical Engineering Research Thesis B
MECH420, Mechatronic Engineering Research Thesis A
MECH421, Mechatronic Engineering Research Thesis B
MECH468, Wireless Mechatronics
MECO100, Visual Media and Communication
MECO210, Narrative Journalism
MECO211, Music and Arts Journalism
MECO310, Telling True Stories 1
MECO311, Telling True Stories 2
MECO316, Media Ethics
MECO319, Modelling and Animation
MECO329, Critical Games Studies
MECO331, Forensic Media
MECO340, NaturesCultures
MECO345, Social Media
MECO399, Advanced Issues in Marketing and Media
MEDI103, Professional Practice 1
MEDI201, Cardiorespiratory 1
MEDI202, Renal and Alimentary 1
MEDI203, Musculoskeletal System
MEDI204, Neuroscience 1
MEDI205, Human Health and Disease Processes
MEDI206, Professional Practice 2
MEDI207, Professional Development 1
MEDI208, Laboratory Experience and Training 1
MEDI210, Pharmacology Fundamentals
MEDI211, Cardiorespiratory System
MEDI219, Genetics and Genomics in Medicine
MEDI301, Cardiorespiratory 2
MEDI302, Renal and Alimentary 2
MEDI303, Neuroscience 2
MEDI304, Advanced Clinical Science
MEDI305, Professional Practice 3
MEDI306, Professional Development 2
MEDI307, Research Experience and Training
MEDI308, Professional Learning in the Clinical Sciences
MGK101, Introductory Modern Greek I
MGK102, Introductory Modern Greek II
MGK121, Modern Greek History and Culture
MGK130, Introductory Modern Greek Short Term Residential Program
MGK205, Intermediate Modern Greek I
MGK206, Intermediate Modern Greek II
MGK230, Intermediate Modern Greek Short Term Residential Program
MGK231, Greek for Special Purposes
MGK304, Modern Greek Translation
MGK306, History of the Greek Language
MGK330, Advanced Modern Greek Short Term Residential Program
MGK336, Advanced Modern Greek I
MGK337, Advanced Modern Greek II
MGK448, Advanced Modern Greek III
MGK449, Advanced Modern Greek IV
MGMT201, Leading Self
MGMT202, Leading Others: Managing Teams and Relationships
MGMT220, Fundamentals of Business Analytics
MGMT255, Global Population Challenges
MGMT256, Workforce Demography and Planning
MGMT300, The Art of Negotiation
MGMT301, Applied Leadership Project
MGMT302, Communication for Effective Leadership
MGMT303, Business Leadership: Ethics and Social Responsibility
MGMT304, Creativity and Innovation
MGMT305, Problem Solving: Critical and Strategic Thinking
MGMT306, Leadership and Influence in Action
MGMT311, Entrepreneurship Project
MGMT315, Research/Project
MGMT320, Advanced Analytics Techniques
MGMT321, Business Analytics Project
MGMT330, International Study Tour  India
MGMT340, International Study Tour  China
MHIS102, Sex and Death: Unnatural Histories
MHIS109, History Now!
MHIS114, The World Since 1945: An Australian Perspective
MHIS115, An Introduction to Big History
MHIS120," Making the Middle Ages: Faith, War and Romance"
MHIS121, After the Black Death: Europe 13481789
MHIS202, Australian Environmental History
MHIS204, The Origins of Modern Australia
MHIS205, ANZAC: Australians at War
MHIS207, From Charlemagne to Game of Thrones: The Middle Ages Then and Now
MHIS209, Australian History since 1901
MHIS211, War and Peace in World History
MHIS215, Problems in Big History
MHIS217," Britain, Empire and the Making of a Globalized World, 16881914"
MHIS218, Football as Global History
MHIS220, TwentiethCentury Europe
MHIS221, The Age of Revolution: Europe from the Reign of Terror to the First World War
MHIS222," Pirates, Merchants and Holy Warriors: The Early Modern Mediterranean"
MHIS270, American History through Film
MHIS271, The United States Since World War Two
MHIS300, Making History Work
MHIS301, IndigenousSettler Histories: Comparative Contexts
MHIS303, Screening the Past: History on Film and Television
MHIS306, Practicing Public History: Modern History PACE
MHIS307, Australian Environmental History
MHIS322, Culture and Power in Renaissance Europe
MHIS323, Angels and Demons in the Medieval World
MHIS325," History of Russia, the Soviet Union and the postSoviet World"
MHIS327, Resisting the Nazis: Fascism and its Opponents
MHIS365, From the Beats to Big Brother: Popular Culture Since the 1950s
MHIS372, America's Wars/America's Empire
MHIS375, Shock and Awe: A History of the Postmodern World
MKTG101, Marketing Fundamentals
MKTG127, Demographic Fundamentals
MKTG202, Marketing Research
MKTG203, Consumer Behaviour
MKTG204, Integrated Marketing Communications
MKTG205, Business to Business Marketing
MKTG207, Services Marketing
MKTG208, Marketing Management
MKTG209, Global Marketing
MKTG216, Consumer Demographics
MKTG303, Marketing Strategy
MKTG304, Marketing Project
MKTG305, Marketing Seminar
MKTG306, EMarketing
MKTG307, Sales Management
MKTG308, Customer Relationship Management
MKTG309, Social Marketing and Sustainability
MKTG310, Marketing Metrics
MKTG311, Brand Management
MKTG312, New Venture Marketing and Business Development
MKTG350, Marketing and Management Law
MMCS115, Modes of Development and Communication
MMCS120, Curating Artistic Creativity
MMCS132, Performing Lives
MMCS200, Musical Authorship and Songwriting
MMCS220, Arts and Entertainment Industries
MMCS260," Documentary Media: Forms, Histories, Futures"
MMCS261, Photo Media
MMCS303," Music, Sound and Moving Image"
MMCS320, Managing Creativity
MMCS321, Arts Management Internship
MMCS330, Performance and Technology
MMCS380, Advanced Audio and Sound Design
MUS100, Experiencing Popular Music
MUS102," Passion, Rebellion and Identity in Popular Music"
MUS202, Music Production 1
MUS203, Music Production 2
MUS204, Music at the Limits: Experimentation and Innovation
MUS205, Introduction to Vocal Studies
MUS206, Intermediate Vocal Studies
MUS207, Guitar Principles
MUS209, The Music Business
MUS211, Sound Cultures
MUS229, Studies in Rhythm
MUS300, Advanced Music Production
MUS301, World Musics
MUS302," Sound, Image and Interactive Media"
MUS304, Advanced Vocal Studies
MUS305, Advanced Guitar
MUS306, Musical Creativities: Projects and Directions
MUS311," Digital Music: Performance, Remixing and DJing"
MUS325, Musical Literacy
PACE201, Professional Practice Placement 1
PACE360," Seeing, Thinking and Doing PACE Internationally"
PACE399, Professional Internship: Learning in Practice
PERF201, Performance and Circus Studies
PERF350, Creative Process
PHIL201, Business and Professional Ethics
PHIL202," Philosophy, Technology, and the Future of Humanity"
PHIL226, The Moral Psychology of Good and Evil
PHIL383, Philosophy Capstone Unit
PHL131, The Philosophy of Human Nature
PHL132," Happiness, Goodness and Justice"
PHL134, Formal Logic
PHL137, Critical Thinking
PHL225, Ethical Theory
PHL232, What is Science
PHL238, Existential Questions
PHL242, Practical Ethics
PHL246, Philosophy of Religion
PHL249," Evolution, Mind and Culture"
PHL250, Philosophy of Art and Literature
PHL254, Freedom and Domination
PHL256, Knowledge and its Limits
PHL260, Bioethics and Biotechnology
PHL262, Philosophy of Psychology
PHL280, Truth and Reality
PHL281, Philosophy of Language
PHL341," Action, Virtue and Character"
PHL351, Social Philosophy
PHL352, The Philosophy of Race and Identity
PHL356, Work and the Good Life
PHL357, Theories of Justice
PHL358, Metaphysics
PHL359, Pragmatism
PHL363, Philosophy and Cognitive Science
PHL365, Film and Philosophy
PHL382, Agency and the Self
PHTY301, Human Movement
PHTY302, Biomechanics of Human Movement
PHYS106, Electric and Magnetic Interactions
PHYS107, Modern Mechanics
PHYS130, Foundations of Physics
PHYS140, Physics IA
PHYS143, Physics IB
PHYS149, Physics for Life Sciences
PHYS188, Advanced Physics I
PHYS201, Classical and Quantum Oscillations and Waves
PHYS202, Electromagnetism and Thermodynamics
PHYS221, Introduction to Optical Science and Technology
PHYS242, Big Ideas in Science
PHYS246, Advanced Physics II
PHYS301, Classical Electrodynamics
PHYS303, Quantum Mechanics and Atomic Physics
PHYS304, Advanced Quantum Mechanics and Quantum Optics
PHYS306, Optical Physics
PHYS308, Condensed Matter and Nanoscale Physics
PHYS311, Professional Physics
PHYS388, Advanced Physics III
PICT103, Introduction to Criminology
PICT110, Introduction to Security Studies
PICT111, Security in an Age of Risk
PICT112, Strategy and Security in the IndoPacific
PICT113, Terrorism in the 21st Century
PICT201, Cybercrime
PICT202, Policing and Crime
PICT210, Intelligence and Counter Intelligence
PICT211, National Security: Policy and Strategy
PICT212, Modern Warfare
PICT213, Crisis Management and Disaster Relief
PICT214, History of War and Conflict in Asia
PICT301, Global and Strategic Issues in Criminology
PICT310, Insecurity and Development
PICT311, Cyber Security in Practice
PICT313, Strategies of Political Violence
PICT320, Ethical Practice in Security Studies and Criminology
PLH120, Introductory Polish I
PLH121, Introductory Polish II
PLH125, Introductory Polish III
PLH131, Introductory Polish Short Term Residential Program
PLH220, Intermediate Polish I
PLH221, Intermediate Polish II
PLH231, Intermediate Polish Short Term Residential Program
PLH312, Reading in Polish
PLH324, Advanced Polish
PLH325, Polish Literary Genres
PLH326, Polish Poetry and Prose
PLH331, Advanced Polish Short Term Residential Program
POIR203, Theories of World Politics
POIR210, Immigration: Politics and Policies
POIR260, East Asia: Development and Democracy
POIR309," Parties, Populism and the Radical Right"
POIR310, Political Ideology and Crisis
POIR333, Local and Global Practice
POL101, Australian Politics in Global Context
POL107, Thinking Politically
POL108, Introduction to Global Politics
POL201," Contemporary Issues in Australian Politics: Race, Nation, Class and Gender"
POL202, Gender and the State
POL206, Modern Political Thought
POL207," Governance, Power and Public Policy"
POL258, Political Violence
POL277, Revolutions
POL278, MiddleEast Politics
POL279, International Political Conflict: Cold Wars and Hot Wars from 1945 to the Present
POL303, Global Political Economy
POL304, Creating New States
POL305, Religion and Politics
POL306, Policy Making in a Global Era
POL308, Australian Foreign Policy
POL322, International Relations of the Middle East
POL372, Islam and the West
POL389, US Foreign Policy in the Asian Century
POL392," United States Politics: Money, Culture, Power"
POL397, Global Environmental Politics
PROF101, Introduction to Professional Practice
PSY224," Psychology, Health and Wellbeing"
PSY234, Social and Personality Psychology
PSY235, Developmental Psychology
PSY236, Biopsychology and Learning
PSY238, Introduction to Psycholinguistics
PSY246, Cognitive Processes I
PSY247, Perception
PSY248, Design and Statistics II
PSY250," Music, Mind and Message"
PSY335, Cognitive Processes II
PSY336, Personality and its Disorders
PSY337, Psychopathology
PSY338, Organisational Psychology
PSY339, Applied Child and Adolescent Psychology
PSY342, Realworld Applications of Visual Perception
PSY344, Neuropsychology in Clinical Practice
PSY348, Principles of Behaviour Change
PSY349, Design and Statistics III
PSY350, The Psychology of Human Relationships
PSY351, Research Methods in Psychology
PSY352, Appetite: The Psychology of Eating and Drinking
PSY354, Clinical and Experimental Neuroscience
PSY399, Psychological Science: Putting Theory into Practice
PSY418, Design and Statistics IV
PSY432, Advanced Issues in Developmental Psychology: Child Abuse and Neglect
PSY437, Advanced Issues in Thinking and Reasoning
PSY438, Instrumental Hypnosis: Putting Hypnosis to Work
PSY440, Psychology of Driving
PSY461, Advanced Topics in Physiological Psychology
PSY462, Computational Modelling in Psychology
PSY463, Advanced Visual Perception
PSY464, Advanced History and Theory of Psychology
PSY466, Advanced Issues in Health Psychology
PSY468, Advanced Issues in Development Psychology: Development Problems across the Lifespan
PSYC104, Introduction to Psychology I
PSYC105, Introduction to Psychology II
PSYC201, Counselling Approaches and Principles
PSYC301, Advanced Counselling Approaches and Principles
PSYC332, Principles of Psychological Assessment
PSYC439," Evolution of Social, Sexual and Emotional Behaviour"
PSYC499, The Scientist Practitioner Model
RSN105, Russian Society and Culture
RSN140, Introductory Russian Short Term Residential Program
RSN150, Introductory Russian I
RSN155, Introductory Russian II
RSN160, Introductory Russian III
RSN240, Intermediate Russian Short Term Residential Program
RSN250, Intermediate Russian I
RSN255, Intermediate Russian II
RSN280, Russia: Myths and Facts
RSN290, Communication in Russian
RSN305, Women in Russian Culture
RSN325, Russian Cinema
RSN340, Advanced Russian Short Term Residential Program
RSN350, Advanced Russian I
RSN355, Advanced Russian II
RSN460, Advanced Russian III
RSN465, Advanced Russian IV
SOC126, Introduction to Justice and Punishment
SOC175, Australian and Global Societies
SOC180, Sociology of Everyday Life
SOC182, Economy and Society
SOC220, Objects of Passion: Topics in Cultural Sociology
SOC222, Theories of Modernity
SOC223, Introduction to Social Policy
SOC224, Methods of Social Research
SOC254," Science, Society and Environment"
SOC279, Sociology of Media
SOC295, Work and Employment
SOC297, Global Migration and Human Rights
SOC302, The Global Politics of Food and Eating
SOC311, Social Order and Social Control
SOC315," Love, Sex and Friendship"
SOC316, Global Cities
SOC320," Sport, Culture and Society"
SOC322," Human Services in the 21st Century: Care, Gender and Institutions"
SOC325, Understanding Contemporary Societies
SOC341, Sociology of the Arts
SOC346," Profit, Protest, Policy: Changes in Market Society"
SOC350, Activism and Social Change
SOC352, Social Change Placement
SOCI226," I Shop, Therefore I Am: Global Consumer Society"
SOCI298, Sociology of Asian Societies
SOCI308, When Disaster Strikes
SOCI318," Living Diversity: Multiculturalism, Racism and Nation"
SOCI329, Contemporary Social Theory
SOCI399, Social Inequality
SPED102, Why People Believe Weird Things: Making Rational Decisions in an Irrational World
SPH308, The Science of Speech Production
SPH310, Developmental Speech and Language Disorders
SPH311, Acquired Speech and Language Disorders
SPH312, Speech Perception and Hearing Science
SPH399, The Acoustics of Speech
SPHL209, Introduction to Audiology
SPHL299, Speech Acoustics
SPN101, Introductory Spanish I
SPN102, Introductory Spanish II
SPN103, Introductory Spanish III
SPN120, Introductory Spanish Short Term Residential Program
SPN201, Intermediate Spanish I
SPN202, Intermediate Spanish II
SPN210, Passion and Repression
SPN220, Intermediate Spanish Short Term Residential Program
SPN301, Advanced Spanish I
SPN302, Advanced Spanish II
SPN315, Place and Displacement
SPN320, Advanced Spanish Short Term Residential Program
SPN325, Rebellion and Change
SPN403, Advanced Spanish III
SPN404, Advanced Spanish IV
SSCI100, Introduction to Social Science
SSCI200, Evaluation in the Social Sciences
SSCI201, Qualitative Inquiry in the Social Sciences
SSCI202, Survey Research in the Social Sciences
SSCI300, Advanced Social Research Methods
SSCI301, Professional Social Research Project
SSCI310, Evaluation and Applied Social Science
STAT150, Business Statistics
STAT170, Introductory Statistics
STAT171, Statistical Data Analysis
STAT175," Gambling, Sport and Medicine"
STAT188, Advanced Statistics I
STAT270, Applied Statistics
STAT271, Statistics I
STAT272, Probability
STAT273, Introduction to Probability
STAT278, Computer Simulation
STAT279, Operations Research I
STAT302," Graphics, Multivariate Methods and Data Mining"
STAT306, Statistical Inference
STAT321, Logistics and Project Management
STAT328, Market Research and Forecasting
STAT373, Design of Surveys and Experiments
STAT375, Linear Models
STAT378, Statistical Computing
STAT379, Operations Research II
STAT394," Probability, Random Processes and Statistics for Engineers"
STAT395, Biostatistics and Epidemiology
STAT399, Consulting in Statistical Sciences
STAT402, Topics in Stochastic Finance
STAT411, Generalised Linear Models
TEP248, Key Competencies in Inclusive Education
TEP387, Curriculum and Instruction in the Secondary School I
TEP388, Curriculum and Instruction in the Secondary School II
TEP401, Professional Experience in the Secondary School I
TEP402, Professional Experience in the Secondary School II
TEP421, Economics and Business Studies in the Secondary School I
TEP422, Economics and Business Studies in the Secondary School II
TEP423, English in the Secondary School I
TEP424, English in the Secondary School II
TEP425, Geography in the Secondary School I
TEP426, Geography in the Secondary School II
TEP427, History in the Secondary School I
TEP428, History in the Secondary School II
TEP429, Mathematics in the Secondary School I
TEP430, Mathematics in the Secondary School II
TEP431, Languages in the Secondary School I
TEP432, Languages in the Secondary School II
TEP440, Society and Culture in the Secondary School I
TEP441, Legal Studies in the Secondary School I
TEP442, English as a Second Language in Schools I
