academicGrpName,academicGrpDescription,academicCareerName,code,creditPoints,title,campusCode,url
HTH,Griffith Health,Postgraduate,102307,10,Practicum 4,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8184PSY
HTH,Griffith Health,Postgraduate,102710,10,Dissertation V,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8005PSY
HTH,Griffith Health,Postgraduate,102725,10,Practicum II,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8302PSY
HTH,Griffith Health,Undergraduate,102936,40,Honours Research Project,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6000PSY_Y2
HTH,Griffith Health,Undergraduate,102936,40,Honours Research Project,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6000PSY_Y2
ARG,"Arts, Education and Law Group",Undergraduate,082970,10,Understanding Games Skills and Concepts,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1201EDN
ARG,"Arts, Education and Law Group",Undergraduate,082970,10,Understanding Games Skills and Concepts,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1201EDN
ARG,"Arts, Education and Law Group",Undergraduate,083544,10,Script Development,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3653GFS
ARG,"Arts, Education and Law Group",Undergraduate,101728,10,Scriptwriting 2,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2701GFS
ARG,"Arts, Education and Law Group",Postgraduate,101928,10,Scriptwriting 1,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7116GFS
ARG,"Arts, Education and Law Group",Undergraduate,083963,10,Orchestration and Arranging,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2543QCM
ARG,"Arts, Education and Law Group",Undergraduate,100406,10,Qualitative Social Research,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6007CCJ
ARG,"Arts, Education and Law Group",Undergraduate,100406,10,Qualitative Social Research,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6007CCJ
ARG,"Arts, Education and Law Group",Postgraduate,101933,10,Introduction to Law and Legal Reasoning,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7300LAW
ARG,"Arts, Education and Law Group",Undergraduate,104397,20,Musical Theatre 2,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1212QCM
ARG,"Arts, Education and Law Group",Undergraduate,104411,10,My Life as a Musician 2,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2020QCM
ARG,"Arts, Education and Law Group",Undergraduate,104412,5,Italian for Singers 2,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2045QCM
ARG,"Arts, Education and Law Group",Undergraduate,104413,20,Musical Theatre 3,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2211QCM
ARG,"Arts, Education and Law Group",Undergraduate,104426,5,Transcription,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2623QCM
ARG,"Arts, Education and Law Group",Undergraduate,104726,10,Electronic Instruments,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2710QCM
ARG,"Arts, Education and Law Group",Undergraduate,104732,10,Post Production Practices,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2728QCM
ARG,"Arts, Education and Law Group",Undergraduate,104738,10,Professional Recording Projects,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=5000QCM
ARG,"Arts, Education and Law Group",Undergraduate,104751,10,Major Study 4,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3529QCM
ARG,"Arts, Education and Law Group",Postgraduate,088838,20,Advanced Performance Study,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7539QCM
ARG,"Arts, Education and Law Group",Postgraduate,089238,10,Postgraduate Project Studies 1,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7525QCM
ARG,"Arts, Education and Law Group",Postgraduate,089888,10,Practical Study 3,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7569QCM
ARG,"Arts, Education and Law Group",Undergraduate,090317,10,Music and Meaning,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1104QCM
ARG,"Arts, Education and Law Group",Undergraduate,101234,5,Music Theory 3,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2511QCM
ARG,"Arts, Education and Law Group",Postgraduate,101355,10,Pedagogy Practicum 1,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7402QCM
ARG,"Arts, Education and Law Group",Undergraduate,104171,10,Revit (Intermediate),SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3569QCA
ARG,"Arts, Education and Law Group",Undergraduate,100410,0,Honours Research Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6901QCA_P1
ARG,"Arts, Education and Law Group",Undergraduate,101797,10,Principles of Animation,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1108GFS
ARG,"Arts, Education and Law Group",Undergraduate,102795,10,Doc 3: Expanded Narratives,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3824QCA
ARG,"Arts, Education and Law Group",Undergraduate,103768,10,Advanced Game Development,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3102GFS
ARG,"Arts, Education and Law Group",Undergraduate,104189,0,Honours Research Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6301GFS_P2
ARG,"Arts, Education and Law Group",Undergraduate,104190,0,Honours Research Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6301GFS_P3
SCG,Griffith Sciences,Undergraduate,104814,20,Urban Analysis and Planning Studio,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2056ENV
SCG,Griffith Sciences,Undergraduate,104814,20,Urban Analysis and Planning Studio,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2056ENV
ARG,"Arts, Education and Law Group",Undergraduate,101279,10,Protools for Musicians,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2712QCM
BUS,Griffith Business School,Undergraduate,086412,10,Company Accounting,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2103AFE
BUS,Griffith Business School,Undergraduate,086412,10,Company Accounting,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2103AFE
BUS,Griffith Business School,Undergraduate,086412,10,Company Accounting,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2103AFE
BUS,Griffith Business School,Postgraduate,089193,10,Management Accounting and Strategy,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7114AFE
BUS,Griffith Business School,Postgraduate,089214,10,Financial Accounting Theory and Practice,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7101AFE
BUS,Griffith Business School,Undergraduate,089332,10,Strategic Management Accounting,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3104AFE
BUS,Griffith Business School,Undergraduate,089332,10,Strategic Management Accounting,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3104AFE
BUS,Griffith Business School,Undergraduate,089332,10,Strategic Management Accounting,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3104AFE
BUS,Griffith Business School,Postgraduate,088878,10,Strategic Marketing,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7032MKT
BUS,Griffith Business School,Postgraduate,088878,10,Strategic Marketing,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7032MKT
BUS,Griffith Business School,Postgraduate,088878,10,Strategic Marketing,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7032MKT
BUS,Griffith Business School,Postgraduate,089349,10,Integrated Marketing Communication,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7209MKT
BUS,Griffith Business School,Postgraduate,089349,10,Integrated Marketing Communication,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7209MKT
BUS,Griffith Business School,Postgraduate,089349,10,Integrated Marketing Communication,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7209MKT
BUS,Griffith Business School,Postgraduate,100161,10,Franchising,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7107MKT
BUS,Griffith Business School,Postgraduate,100161,10,Franchising,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7107MKT
ARG,"Arts, Education and Law Group",Undergraduate,101752,10,Cinematography 2,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2707GFS
ARG,"Arts, Education and Law Group",Postgraduate,102814,10,"Digital Culture, Games and Education",MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7131EDN
ARG,"Arts, Education and Law Group",Postgraduate,102814,10,"Digital Culture, Games and Education",OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7131EDN
ARG,"Arts, Education and Law Group",Undergraduate,103572,10,Games History and Culture,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2103GFS
ARG,"Arts, Education and Law Group",Undergraduate,104282,10,Professional Practice 1,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3714GFS
BUS,Griffith Business School,Undergraduate,088519,10,International Finance,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3209AFE
BUS,Griffith Business School,Undergraduate,088519,10,International Finance,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3209AFE
HTH,Griffith Health,Research,100205,40,Research,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8940PSY
HTH,Griffith Health,Research,100205,40,Research,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8940PSY
HTH,Griffith Health,Undergraduate,100316,0,Dissertation Thesis,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6004MSC_P4
HTH,Griffith Health,Undergraduate,100317,50,Dissertation Thesis,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6004MSC_P5
BUS,Griffith Business School,Undergraduate,086788,10,Intermediate Macroeconomics,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2304AFE
BUS,Griffith Business School,Undergraduate,086788,10,Intermediate Macroeconomics,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2304AFE
BUS,Griffith Business School,Undergraduate,104256,10,Franchising and Small Business,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3019MKT
BUS,Griffith Business School,Undergraduate,104256,10,Franchising and Small Business,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3019MKT
BUS,Griffith Business School,Undergraduate,104256,10,Franchising and Small Business,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3019MKT
BUS,Griffith Business School,Undergraduate,104256,10,Franchising and Small Business,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3019MKT
BUS,Griffith Business School,Undergraduate,104256,10,Franchising and Small Business,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3019MKT
HTH,Griffith Health,Undergraduate,102547,10,Anatomy and Physiology Systems II,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1017MSC
HTH,Griffith Health,Undergraduate,102547,10,Anatomy and Physiology Systems II,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1017MSC
HTH,Griffith Health,Undergraduate,105198,10,Microbiology for Oral Health,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2015MSC
HTH,Griffith Health,Undergraduate,104374,10,Contemporary Nursing,OS,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1100NRS
SCG,Griffith Sciences,Undergraduate,080515,10,Ecology,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2051ENV
HTH,Griffith Health,Undergraduate,085720,10,Infectious Disease,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3013MSC
HTH,Griffith Health,Postgraduate,101643,10,Pharmacy Management,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7011PHM
BUS,Griffith Business School,Undergraduate,102587,0,Honours Dissertation Part 3,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6300GBS_P3
BUS,Griffith Business School,Undergraduate,102587,0,Honours Dissertation Part 3,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6300GBS_P3
BUS,Griffith Business School,Undergraduate,102648,10,Introduction to Supply Chain Management,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2150IBA
BUS,Griffith Business School,Undergraduate,102648,10,Introduction to Supply Chain Management,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2150IBA
BUS,Griffith Business School,Undergraduate,103224,10,Operations Management,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3155IBA
BUS,Griffith Business School,Undergraduate,103224,10,Operations Management,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3155IBA
BUS,Griffith Business School,Postgraduate,104699,10,Management Consulting,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7004EHR
ARG,"Arts, Education and Law Group",Undergraduate,105042,10,Collaboration and Co-teaching,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3316EDN
HTH,Griffith Health,Postgraduate,086766,40,Dissertation 4,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7999NRS_P4
HTH,Griffith Health,Undergraduate,085357,10,Clinical Teaching for Health Professionals,OS,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3928NRS
BUS,Griffith Business School,Postgraduate,088693,10,Digital Human Resource Management,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7023EHR
BUS,Griffith Business School,Postgraduate,089289,10,Global Business Strategy,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7008IBA
BUS,Griffith Business School,Postgraduate,089289,10,Global Business Strategy,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7008IBA
BUS,Griffith Business School,Undergraduate,089752,10,International Human Resource Management,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3009EHR
BUS,Griffith Business School,Undergraduate,089752,10,International Human Resource Management,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3009EHR
BUS,Griffith Business School,Undergraduate,089752,10,International Human Resource Management,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3009EHR
ARG,"Arts, Education and Law Group",Undergraduate,086279,10,Mathematics Curriculum - Junior Secondary,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3024EDN
ARG,"Arts, Education and Law Group",Undergraduate,086279,10,Mathematics Curriculum - Junior Secondary,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3024EDN
ARG,"Arts, Education and Law Group",Undergraduate,105467,10,History Curriculum - Junior Secondary,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3060EDN
ARG,"Arts, Education and Law Group",Undergraduate,105467,10,History Curriculum - Junior Secondary,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3060EDN
ARG,"Arts, Education and Law Group",Postgraduate,102054,10,Pedagogy Practicum 2,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7403QCM
ARG,"Arts, Education and Law Group",Undergraduate,105002,10,Technologies Education,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2013EDN
ARG,"Arts, Education and Law Group",Undergraduate,105002,10,Technologies Education,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2013EDN
ARG,"Arts, Education and Law Group",Undergraduate,105002,10,Technologies Education,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2013EDN
ARG,"Arts, Education and Law Group",Postgraduate,102872,10,Expertise and Development,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7286EDN
HTH,Griffith Health,Postgraduate,081590,10,Applied Counselling,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7002HSV
HTH,Griffith Health,Postgraduate,101269,10,Independent Study 1,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7007HSV
HTH,Griffith Health,Undergraduate,089114,0,Dissertation Part 2,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6001HSV_P2
ARG,"Arts, Education and Law Group",Postgraduate,082827,10,Making Sense of the Criminal Justice System,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7002CCJ
ARG,"Arts, Education and Law Group",Postgraduate,101324,10,Research and Evaluation Methods,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7022CCJ
HTH,Griffith Health,Postgraduate,089868,10,Contemporary Suicide Prevention Practice II,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7003CSR
SCG,Griffith Sciences,Postgraduate,102777,0,Dissertation,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7590ICT_P2
SCG,Griffith Sciences,Postgraduate,102777,0,Dissertation,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7590ICT_P2
SCG,Griffith Sciences,Postgraduate,102779,40,Dissertation,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7590ICT_P4
SCG,Griffith Sciences,Postgraduate,102779,40,Dissertation,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7590ICT_P4
SCG,Griffith Sciences,Postgraduate,104984,10,Programming Principles 2,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7005ICT
SCG,Griffith Sciences,Postgraduate,104984,10,Programming Principles 2,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7005ICT
SCG,Griffith Sciences,Postgraduate,086630,10,Geographic Information Systems,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7067ENV
SCG,Griffith Sciences,Postgraduate,087029,10,Advanced Digital Signal Processing,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7504ENG
SCG,Griffith Sciences,Postgraduate,103320,10,Resource Planning and Management,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7203ENG
SCG,Griffith Sciences,Postgraduate,103321,10,Risk Analysis and Management,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7204ENG
SCG,Griffith Sciences,Postgraduate,103566,10,Computer Systems,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7515ENG
SCG,Griffith Sciences,Undergraduate,103637,10,Efficient Energy Systems,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3315ENG
SCG,Griffith Sciences,Undergraduate,104322,10,Analog Electronics I,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2311ENG
SCG,Griffith Sciences,Undergraduate,104908,10,Heat and Mass Transfer,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3505ENG
SCG,Griffith Sciences,Postgraduate,105327,10,Energy Efficiency,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7519ENG
BUS,Griffith Business School,Postgraduate,088539,10,Enterprise Mobility,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7113IBA
SCG,Griffith Sciences,Undergraduate,101850,10,Computer Systems and Networks,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1007ICT
SCG,Griffith Sciences,Undergraduate,101850,10,Computer Systems and Networks,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1007ICT
SCG,Griffith Sciences,Postgraduate,103434,10,Systems Development,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7002ICT
SCG,Griffith Sciences,Postgraduate,103434,10,Systems Development,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7002ICT
SCG,Griffith Sciences,Postgraduate,080636,10,Environmental Pollution,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7421ENV
SCG,Griffith Sciences,Postgraduate,080636,10,Environmental Pollution,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7421ENV
SCG,Griffith Sciences,Postgraduate,100494,20,Research Proposal,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8002ENV
SCG,Griffith Sciences,Undergraduate,100747,0,Honours Dissertation Environmental Management,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6902ENV_P1
SCG,Griffith Sciences,Undergraduate,100748,0,Honours Dissertation Environmental Management,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6902ENV_P2
SCG,Griffith Sciences,Undergraduate,103672,0,Honours Dissertation,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6961ENV_P4
SCG,Griffith Sciences,Postgraduate,105406,10,Sport Instrumentation,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7524ENG
SCG,Griffith Sciences,Postgraduate,085127,10,Hazardous Waste Management,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7408ENG
SCG,Griffith Sciences,Postgraduate,085127,10,Hazardous Waste Management,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7408ENG
SCG,Griffith Sciences,Undergraduate,102177,10,Solid Waste Engineering,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3202ENG
HTH,Griffith Health,Postgraduate,105389,0,Medicine 1,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8001MED_Y1
HTH,Griffith Health,Postgraduate,105389,0,Medicine 1,OT,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8001MED_Y1
HTH,Griffith Health,Postgraduate,105396,0,Medicine 4,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8004MED_Y1
HTH,Griffith Health,Postgraduate,105396,0,Medicine 4,OT,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8004MED_Y1
HTH,Griffith Health,Postgraduate,101646,0,Dissertation,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7013PHM_P2
HTH,Griffith Health,Undergraduate,105308,10,Pharmaceutical Science III,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=4001PHM
HTH,Griffith Health,Undergraduate,105309,10,Integrated Pharmacotherapeutics (neuro/psyc),GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=4002PHM
BUS,Griffith Business School,Postgraduate,102890,10,"The Political, Legal and Governance Environment",SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7023GIR
BUS,Griffith Business School,Postgraduate,102890,10,"The Political, Legal and Governance Environment",OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7023GIR
BUS,Griffith Business School,Postgraduate,103879,10,"Policy Advice: Evidence, Argument and persuasion in Policy-Making",SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7209GIR
BUS,Griffith Business School,Undergraduate,080086,10,Modernising Asia,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1004IBA
HTH,Griffith Health,Undergraduate,087716,10,Introduction to Social Theory,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1014HSV
HTH,Griffith Health,Undergraduate,087716,10,Introduction to Social Theory,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1014HSV
HTH,Griffith Health,Undergraduate,087716,10,Introduction to Social Theory,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1014HSV
HTH,Griffith Health,Undergraduate,087716,10,Introduction to Social Theory,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1014HSV
BUS,Griffith Business School,Undergraduate,105234,10,Australia's Foreign Relations,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3012GIR
BUS,Griffith Business School,Undergraduate,105234,10,Australia's Foreign Relations,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3012GIR
ARG,"Arts, Education and Law Group",Undergraduate,087878,0,Dissertation 3,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6091CCJ_P3
ARG,"Arts, Education and Law Group",Undergraduate,087878,0,Dissertation 3,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6091CCJ_P3
BUS,Griffith Business School,Undergraduate,083423,10,International Relations,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1001GIR
BUS,Griffith Business School,Undergraduate,083423,10,International Relations,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1001GIR
BUS,Griffith Business School,Undergraduate,089167,10,"Governments, Markets and Communities","NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2005GIR
BUS,Griffith Business School,Undergraduate,089167,10,"Governments, Markets and Communities",GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2005GIR
HTH,Griffith Health,Undergraduate,084417,10,Applied Social Psychology,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3022PSY
HTH,Griffith Health,Undergraduate,087469,10,Organisational Psychology,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2004PSY
ARG,"Arts, Education and Law Group",Undergraduate,089711,10,Sport Psychology,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2085EDN
HTH,Griffith Health,Undergraduate,102016,10,Social Work 1,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3036HSV
HTH,Griffith Health,Undergraduate,102016,10,Social Work 1,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3036HSV
HTH,Griffith Health,Undergraduate,102016,10,Social Work 1,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3036HSV
HTH,Griffith Health,Undergraduate,102714,0,Honours Research Project,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6000PSY_Y1
HTH,Griffith Health,Undergraduate,102714,0,Honours Research Project,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6000PSY_Y1
HTH,Griffith Health,Undergraduate,104006,10,Professional Psychology A,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6023PSY
HTH,Griffith Health,Undergraduate,104006,10,Professional Psychology A,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6023PSY
HTH,Griffith Health,Undergraduate,104549,10,Survey Design and Analysis,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3003PSY
HTH,Griffith Health,Undergraduate,104549,10,Survey Design and Analysis,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3003PSY
ARG,"Arts, Education and Law Group",Undergraduate,081270,10,Doing Criminology,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1009CCJ
ARG,"Arts, Education and Law Group",Undergraduate,081270,10,Doing Criminology,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1009CCJ
