code,title,availability,units
EDUC4146,Early Childhood/Primary Professional Experience,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),20 units
EDUC4147,Early Childhood/Primary Professional Experience,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),30 units
EDUC4160,Specialist Studies in Geography 2,Semester 1 - 2020 (Callaghan),10 units
EDUC4175,Pedagogies of Reading and Writing: Birth to 12 Years,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
EDUC4181,Ethical Teaching in Classrooms,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
EDUC4182,Research as Practice,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),10 units
EDUC4185,"Teachers, Ethics and Professionalism: K-6 Internship",Not currently offered,20 units
EDUC4186,Quality Teaching and Professional Practice K-6,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast)Semester 2 - 2020 (Port Macquarie),20 units
EDUC4187,Quality Teaching and Professional Practice K-6,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast)Semester 2 - 2020 (Port Macquarie),30 units
EDUC4195,"Teachers, Ethics and Professionalism: 7-12 Internship",Not currently offered,20 units
EDUC4196,Quality Teaching and Professional Practice 7-12,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),20 units
EDUC4197,Quality Teaching and Professional Practice 7-12,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),30 units
EDUC4203,Extended Studies in Health and Physical Education,Winter - 2020 (Callaghan),10 units
EDUC4245,Specialist Studies in Technology 4,Semester 1 - 2020 (Callaghan),10 units
EDUC4748,Advanced Literacy Studies,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Port Macquarie),10 units
EDUC4749,Advanced Numeracy Studies,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Port Macquarie),10 units
EDUC4750,K-6 Curriculum Contexts: Integration & Inclusion,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Port Macquarie),10 units
EDUC4800,Education in Global Perspective: Issues for Australian teachers,Semester 2 - 2020 (Online),10 units
EDUC4801,Politics of Education: Creating Sustainable Communities,Not currently offered,10 units
EDUC4803,Contemporary Literacies and Visual Pedagogies for Classrooms,Not currently offered,10 units
EDUC4804,Educational Leadership for a Sustainable Future,Not currently offered,10 units
EDUC4806,Civics and Citizenship Education,Summer 2 - 2020 (Callaghan)Summer 2 - 2020 (Central Coast)Summer 2 - 2020 (Port Macquarie),10 units
EDUC4807,Educating for Ecologically Sustainable Communities,Winter - 2020 (Callaghan)Winter - 2020 (Central Coast),10 units
EDUC4808,Excellence and Equity: Promoting communities of self-directing learners,Summer 2 - 2020 (Callaghan),10 units
EDUC4809,"Historical Consciousness, Public Memory, and Nation Building",Summer 2 - 2020 (Newcastle City),10 units
EDUC4810,Media Arts Learning in Primary School an integrated approach,Summer 2 - 2020 (Callaghan),10 units
EDUC4812,Sociological Perspectives of Numeracy,Not currently offered,10 units
EDUC4813,Sociocultural Perspectives of Literacy,Not currently offered,10 units
EDUC4940,Research Design and Critique,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
EDUC4955,Education Honours I: Introduction to Education Research,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
EDUC4965,Education Honours II: Research Design and Methods,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Semester 2 - 2020 (Central Coast),10 units
EDUC4975,Honours III - Thesis A,Not currently offered,10 units
EDUC4990,Honours III: Project and Thesis,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),20 units
EDUC6000,Understanding Aspirations for Greater Equity,Semester 1 - 2020 (Online),10 units
EDUC6001,"Disability Studies: Perspectives on the Individual, Family and Community",Not currently offered,10 units
EDUC6002,Disability Support and Services - Mngt and Eval,Not currently offered,10 units
EDUC6003,Planning Support in Disability Services,Not currently offered,10 units
EDUC6004,Collaborative Approaches in Disability Services,Not currently offered,10 units
EDUC6005,Social Justice and Early Childhood Education,Semester 2 - 2020 (Online),10 units
EDUC6006,Contemporary Issues and Early Childhood,Semester 1 - 2020 (Online),10 units
EDUC6008,Identification of Gifted and Talented Students,Not currently offered,10 units
EDUC6010,Advanced Studies in Education,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
EDUC6011,Curriculum and Programming in Gifted Education,Not currently offered,10 units
EDUC6012,Boys Education: Foundations for Successful Practice,Not currently offered,10 units
EDUC6015,School Orgn and Structural Issues in Educating Boys,Not currently offered,10 units
EDUC6016,Leadership and Strategic Management,Not currently offered,10 units
EDUC6017,Organisational Behaviour and Managing People,Not currently offered,10 units
EDUC6018,Contemporary Issues in ICT and Education,Semester 2 - 2020 (Online),10 units
EDUC6019,Instructional Leadership and Program Evaluation,Not currently offered,10 units
EDUC6020,Contemporary Issues in Educational Leadership,Not currently offered,10 units
EDUC6021,Advanced Educational Studies 1,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
EDUC6023,Cultural Variations in Language Learning,Semester 2 - 2020 (Online),10 units
EDUC6024,Practicum in Tesol,Not currently offered,10 units
EDUC6025,Tesol Curriculum and Methodology,Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
EDUC6026,Minor Thesis A,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
EDUC6027,Minor Thesis B,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
EDUC6028,Advanced Educational Studies 2,Semester 1 - 2020 (Online),10 units
EDUC6030,Power and Pedagogy,Semester 2 - 2020 (Online),10 units
EDUC6036,Educational Leadership and ICT,Semester 2 - 2020 (Online),10 units
EDUC6038,ICT in Education,Semester 1 - 2020 (Online),10 units
EDUC6042,Digitally Supported Learning,Semester 1 - 2020 (Online),10 units
EDUC6043,Religious Education: Theory and Practice,Not currently offered,10 units
EDUC6045,Advanced Learning Theory,Not currently offered,10 units
EDUC6048,Research Methodology,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
EDUC6049,Educational Research Methodology 2: Qualitative,Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
EDUC6050,Educational Research Methodology 1: Quantitative,Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
EDUC6051,Industry/Work Based Project,Not currently offered,10 units
EDUC6052,"Introduction to Hearing, Audiology, and Assistive Listening Technology",Semester 1 - 2020 (Online),10 units
EDUC6053,Understanding How Students Who are Deaf or Hard of Hearing Learn,Semester 1 - 2020 (Online),10 units
EDUC6054,Speech and Children who are Deaf or Hard of Hearing,Semester 2 - 2020 (Online),10 units
EDUC6055,Language and Literacy of Children Who are Deaf or Hard of Hearing,Semester 2 - 2020 (Online),10 units
EDUC6056,Pedagogical Practices for Teachers of Children Who are Deaf or Hard of Hearing,Semester 2 - 2020 (Online),10 units
EDUC6066,Sensory Systems Perception and Child Development,Not currently offered,10 units
EDUC6067,Orientation and Mobility for Educators,Not currently offered,10 units
EDUC6068,Curriculum and Pedagogy for Students with Vision Impairments,Not currently offered,10 units
EDUC6070,Literacy and Numeracy Development in Learners with Vision Impairment,Not currently offered,10 units
EDUC6076,Seminar in Sensory Disability A,Not currently offered,10 units
EDUC6077,Seminar in Sensory Disability B,Not currently offered,10 units
EDUC6079,"Assessment, Programming and Intervention in Behaviour Problems",Semester 2 - 2020 (Online),10 units
EDUC6080,Whole School Approaches to Supporting Student Behaviour,Semester 1 - 2020 (Online),10 units
EDUC6081,Using Resources in Behaviour Problems,Semester 2 - 2020 (Online),10 units
EDUC6082,"Policy, Administration and Collaboration in Special and Inclusive Education",Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
EDUC6083,Communication Interventions,Not currently offered,10 units
EDUC6084,Community Service Provision People with Disability,Not currently offered,10 units
EDUC6085,Education of Students with Learning Difficulties,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
EDUC6086,Education of Students with Behaviour Problems,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
EDUC6087,Education Students with Developmental Disabilities,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
EDUC6088,Teaching Methods and Techniques in Special and Inclusive Education,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
EDUC6090,Current Issues in Special Education,Not currently offered,10 units
EDUC6101,Web 2.0 and Beyond,Semester 1 - 2020 (Online),10 units
EDUC6102,Mathematics Curriculum Studies 1,Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
EDUC6103,Mathematics Curriculum Studies 2,Semester 1 - 2020 (Online),10 units
EDUC6104,Mathematics Curriculum Studies 3,Semester 1 - 2020 (Online),10 units
EDUC6105,Mathematics Curriculum Studies 4,Semester 2 - 2020 (Online),10 units
EDUC6106,Mathematics Curriculum Studies 5,Semester 2 - 2020 (Online),10 units
EDUC6107,Mathematics Curriculum Studies 6,Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
EDUC6108,Current Issues in Secondary Schools,Semester 1 - 2020 (Online),10 units
EDUC6109,Integrated Fieldwork Studies,Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
EDUC6110,STEM -  an exercise in integration,Not currently offered,10 units
EDUC6113,Advanced Theory and Practice in Orientation and Mobility,Not currently offered,10 units
EDUC6116,Sustaining Strategic Leadership,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
EDUC6117,Building High-Quality Learning Environments,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
EDUC6119,Leading for Learning,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
EDUC6120,Research and School Transformation,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
EDUC6124,English for Special Purposes,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
EDUC6127,Technology Education,Semester 2 - 2020 (Online),10 units
EDUC6132,Supervision and Mentoring of Teachers,Semester 2 - 2020 (Online),10 units
EDUC6150,Boys and Classroom Practice,Not currently offered,10 units
EDUC6153,Boys and Literacies,Not currently offered,10 units
EDUC6157,"History, Nature, and Practice of Science",Not currently offered,10 units
EDUC6158,Orientation and Mobility for Instructors in Training,Not currently offered,10 units
EDUC6159,School and Community Partnerships to Improve Boys' and Girls' Outcomes,Not currently offered,10 units
EDUC6160,Supporting Communication Skills,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
EDUC6161,Contemporary Issues in Early Childhood Intervention,Semester 1 - 2020 (Online),10 units
EDUC6162,Social-Emotional Learning and Positive Behaviour Support for Children 0-5 years,Semester 1 - 2020 (Online),10 units
EDUC6163,Collaborative and Inter-disciplinary Approaches in Early Childhood Intervention,Semester 2 - 2020 (Online),10 units
EDUC6164,Critical Reflections in Special and Inclusive Education Settings,Semester 2 - 2020 (Online),10 units
EDUC6165,"Critiquing and designing research in inclusive, special education or disability service settings",Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
EDUC6166,Inquiry as Stance: Researching Teaching,Not currently offered,10 units
EDUC6168,"Teachers, Learners and the Foundations of Schooling",Not currently offered,20 units
EDUC6171,Extended Studies in Visual Arts 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6180,Specialist Studies in Music 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6190,Extended Studies in Mathematics 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6200,Educative Pedagogy for Instructional Leaders,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
EDUC6201,Educative Assessment for Instructional Leaders,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
EDUC6202,Educative Curriculum for Instructional Leaders,Semester 2 - 2020 (Online),10 units
EDUC6203,Productive Teacher Learning,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
EDUC6204,Intermediate Assessment Design,Not currently offered,10 units
EDUC6205,Intermediate Curriculum Design,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
EDUC6224,Issues and Debates in History Education,Not currently offered,10 units
EDUC6225,"Knowing, Teaching & Learning History",Not currently offered,10 units
EDUC6226,Teaching History in Primary Schools,Not currently offered,10 units
EDUC6236,Specialist Studies in History 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6240,Teaching the Digital Generation,Semester 2 - 2020 (Online),10 units
EDUC6241,Screen Education,Not currently offered,10 units
EDUC6243,Specialist Studies in Languages 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6245,Specialist Studies in Technology 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6250,Specialist Studies in English 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6251,Information Technology and ESL/EFL Teaching,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
EDUC6252,Sociocultural Context for ESL/EFL Teaching,Semester 1 - 2020 (Online),10 units
EDUC6258,Practicum in Orientation and Mobility,Not currently offered,10 units
EDUC6260,Education and International Development: Global Perspectives,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
EDUC6261,Comparative Education: Debates and Dilemmas,Not currently offered,10 units
EDUC6262,Educating for Peace,Semester 2 - 2020 (Online),10 units
EDUC6263,Psychology of Reading and Writing and Educational Practice,Not currently offered,10 units
EDUC6264,Inquiry in Early Childhood Philosophy and Practices,Semester 1 - 2020 (Online),10 units
EDUC6265,Conducting Teacher Research in Early Childhood Education,Semester 2 - 2020 (Online),10 units
EDUC6268,International Education Policy: Trends and Debates,Semester 2 - 2020 (Online),10 units
EDUC6273,Politics and Education,Not currently offered,10 units
EDUC6274,Indigenous Education,Not currently offered,10 units
EDUC6280,Creative and Performing Arts Pedagogies,Not currently offered,10 units
EDUC6281,Creative Arts Curriculum,Not currently offered,10 units
EDUC6282,"Creative and Performing Arts, Culture, Community and Future Learning",Not currently offered,10 units
EDUC6291,Professional Ethics and Values in Teaching and Educational Leadership,Not currently offered,10 units
EDUC6295,Principia Methodologica: Theory and methodology in educational research,Not currently offered,10 units
EDUC6296,Narrative and Discourse Analysis in Education,Not currently offered,10 units
EDUC6301,Theory and Application of Technology in Vision Impairment,Not currently offered,10 units
EDUC6336,Specialist Studies in Drama 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6343,Specialist Studies in Languages 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6345,Specialist Studies in Technology 2,Semester 2 - 2020 (Callaghan),10 units
EDUC6350,School Leadership Research,Semester 1 - 2020 (Online),10 units
EDUC6351,Data Mining for School Leaders,Semester 1 - 2020 (Online),10 units
EDUC6352,Australian School Leadership,Semester 1 - 2020 (Online),10 units
EDUC6353,Leading and Managing Educational Change,Semester 2 - 2020 (Online),10 units
EDUC6360,Specialist Studies in Geography and Commerce 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6371,Specialist Studies in Visual Arts 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6380,Extended Studies in Music 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6390,Specialist Studies in Mathematics 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6400,Extended Studies in Visual Arts 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6403,Specialist Studies in Music 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6404,Extended Studies in Music 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6405,Extended Studies in Mathematics 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6409,Extended Studies in Science 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6436,Specialist Studies in Drama 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6445,Specialist Studies in Technology 3,Semester 1 - 2020 (Callaghan),10 units
EDUC6450,Higher Education Futures,Not currently offered,10 units
EDUC6460,Specialist Studies in Geography 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6490,Specialist Studies in Mathematics 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6492,"Specialist Studies in Business Studies, Economics and Legal Studies",Semester 1 - 2020 (Callaghan),10 units
EDUC6493,"Specialist Studies in Society and Culture, Aboriginal Studies and Studies of Religion",Semester 1 - 2020 (Callaghan),10 units
EDUC6499,Specialist Studies in Visual Arts 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6504,Engineering Studies 1,Semester 1 - 2020 (Online),10 units
EDUC6505,Engineering Studies 2,Semester 1 - 2020 (Online),10 units
EDUC6506,Engineering Studies 3,Semester 2 - 2020 (Online),10 units
EDUC6507,Engineering Studies 4,Semester 2 - 2020 (Online),10 units
EDUC6511,Early Childhood Literacies,Not currently offered,10 units
EDUC6512,Early Childhood Curriculum,Semester 2 - 2020 (Online),10 units
EDUC6536,Specialist Studies in History 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6552,Specialist Studies in Science 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6555,Specialist Studies in Technology 4,Semester 1 - 2020 (Callaghan),10 units
EDUC6590,Specialist Studies in English 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6634,The Practising Professional: Primary,Not currently offered,20 units
EDUC6652,Extended Studies in Science 1,Semester 2 - 2020 (Callaghan),10 units
EDUC6661,Audiology for Special Educators,Not currently offered,10 units
EDUC6662,Speech Science and Speech Development,Not currently offered,10 units
EDUC6663,Foundations of Language and Literacy in Hearing and Deaf Children,Not currently offered,10 units
EDUC6664,"Speech, Language, and Literacy Assessment and Remediation",Not currently offered,10 units
EDUC6665,Social and Cultural Contexts of Deaf Education,Not currently offered,10 units
EDUC6666,Inclusive and Collaborative Practice in Sensory Disability,Not currently offered,10 units
EDUC6667,Child Development: Family and Community Contexts,Not currently offered,10 units
EDUC6668,Foundations of Vision Impairment,Not currently offered,10 units
EDUC6669,Advanced Studies in Vision Impairment,Not currently offered,10 units
EDUC6711,Curriculum Design and Quality Teaching,Semester 1 - 2020 (Callaghan),10 units
EDUC6735,"Learners, Learning and Teaching",Semester 1 - 2020 (Callaghan),10 units
EDUC6738,K-6 English,Semester 1 - 2020 (Callaghan)Trimester 2 - 2020 (Callaghan),10 units
EDUC6739,K-6 Mathematics,Trimester 2 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
EDUC6740,Students with Diverse Needs,Trimester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
EDUC6741,"Literacies, Language and Learning",Semester 1 - 2020 (Callaghan),10 units
EDUC6744,K-6 Science and Technology,Semester 1 - 2020 (Callaghan)Trimester 3 - 2020 (Callaghan),10 units
EDUC6745,K-6 Creative Arts,Trimester 2 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
EDUC6746,K-6 HSIE,Semester 1 - 2020 (Callaghan)Trimester 3 - 2020 (Callaghan),10 units
EDUC6747,K-6 PDHPE,Semester 1 - 2020 (Callaghan)Trimester 3 - 2020 (Callaghan),10 units
EDUC6748,Advanced Literacy Studies,Semester 2 - 2020 (Callaghan),10 units
EDUC6749,Advanced Numeracy Studies,Semester 1 - 2020 (Callaghan),10 units
EDUC6751,Knowledge and Communication Technologies,Semester 1 - 2020 (Callaghan),10 units
EDUC6752,Specialist Studies in Science 2,Semester 1 - 2020 (Callaghan),10 units
EDUC6761,Quality Teaching in Primary Classrooms,Not currently offered,10 units
EDUC6762,Managing the K-6 Learning Environment,Trimester 2 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
EDUC6763,Integrated Curriculum,Semester 1 - 2020 (Callaghan),10 units
EDUC6764,The Practicing Professional Primary Teacher,Semester 2 - 2020 (Callaghan),10 units
EDUC6771,Quality Teaching in Secondary Classrooms,Not currently offered,10 units
EDUC6772,The Adolescent Learning Environment,Trimester 2 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
EDUC6773,The Reflective Secondary Teacher,Semester 1 - 2020 (Callaghan),10 units
EDUC6774,The Practicing Professional,Semester 2 - 2020 (Callaghan),10 units
EDUC6775,"Curriculum, Pedagogy and Assessment in Secondary Schools",Trimester 2 - 2020 (Callaghan),20 units
EDUC6776,"Design, Delivery and Innovation in Secondary Schools",Trimester 3 - 2020 (Callaghan),20 units
EDUC6781,Contemporary Literacies,Trimester 3 - 2020 (Callaghan),20 units
EDUC6782,The Global Professional,Not currently offered,30 units
EDUC6783,Advanced Literacy and Numeracy,Not currently offered,10 units
EDUC6784,The Practising Professional: Secondary,Not currently offered,20 units
EDUC6785,Educational Foundations,Trimester 1 - 2020 (Callaghan),20 units
EDUC6855,"Professional Experience, Research and Critical Reflection in Sensory Disability",Not currently offered,10 units
EDUC6856,Using Signed Communication with Young Children and Families,Not currently offered,10 units
EDUC6857,Sign Language in Education: Theoretical Perspectives,Not currently offered,10 units
EDUC6858,Advanced Pedagogy in Signed Language,Not currently offered,10 units
EDUC6859,Listening and Spoken Language: Audiological Management,Not currently offered,10 units
EDUC6860,Listening and Spoken Language: Foundations,Not currently offered,10 units
EDUC6861,Listening and Spoken Language: Early Intervention,Not currently offered,10 units
EDUC6862,Listening and Spoken Language: School Age Children,Not currently offered,10 units
EDUC6864,Child Development: Sensory and Multiple Disability,Not currently offered,10 units
EDUC6888,Second Language Teaching and Learning in Australian Schools,Not currently offered,10 units
EDUC6889,Second Language (L2) Curriculum and Methodology,Not currently offered,10 units
EDUC6911,"Schooling, Identity and Society",Semester 2 - 2020 (Online),10 units
EDUC6912,Aboriginal Education,Trimester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
EDUC6913,The Global Professional,Not currently offered,20 units
Back to top,Back to top,Back to top,Back to top
ELEC1300,Electrical Engineering 1,Not currently offered,10 units
ELEC1310,Introduction to Electrical Engineering,Semester 2 - 2020 (Callaghan)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ELEC1700,Computer Engineering 1,Not currently offered,10 units
ELEC1710,Digital and Computer Electronics 1,Semester 2 - 2020 (Callaghan)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ELEC2132,Electric Energy Systems,Semester 2 - 2020 (Callaghan)Trimester 1 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ELEC2320,Electrical and Electronic Circuits,Semester 1 - 2020 (Callaghan)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ELEC2400,Signals and Systems,Not currently offered,10 units
ELEC2430,Circuits and Signals,Semester 2 - 2020 (Callaghan)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ELEC2700,Computer Engineering II,Not currently offered,10 units
ELEC2710,Digital and Computer Electronics 1,Not currently offered,10 units
ELEC2720,Introduction to Embedded Computing,Semester 1 - 2020 (Callaghan)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore),10 units
ELEC3130,Electric Machines and Power Systems,Semester 1 - 2020 (Callaghan)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ELEC3160,Principles and Design of Off-Grid Power Systems,Semester 2 - 2020 (Callaghan),10 units
ELEC3240,Analog Electronics,Semester 2 - 2020 (Callaghan)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ELEC3250,Power Electronics,Not currently offered,10 units
ELEC3251,Power Electronics and Renewable Energy Systems,Semester 2 - 2020 (Callaghan),10 units
ELEC3400,Signal Processing,Semester 1 - 2020 (Callaghan)Trimester 3 - 2020 (Singapore),10 units
ELEC3500,Telecommunication Networks,Semester 2 - 2020 (Callaghan),10 units
ELEC3540,Analog and Digital Communications,Semester 2 - 2020 (Callaghan)Trimester 3 - 2020 (Singapore),10 units
ELEC3550,Wireless Communications,Not currently offered,10 units
ELEC3720,Programmable Logic Design,Not currently offered,10 units
ELEC3730,Digital and Computer Electronics 2,Semester 1 - 2020 (Callaghan),10 units
ELEC3850,Electrical Engineering Design and Practice,Semester 2 - 2020 (Callaghan)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ELEC4100,Electrical Systems,Semester 1 - 2020 (Callaghan),10 units
ELEC4160,Advanced Drives and Power Electronics,Semester 2 - 2020 (Callaghan),10 units
ELEC4210,Electronics Design,Semester 1 - 2020 (Callaghan),10 units
ELEC4400,Automatic Control,Not currently offered,10 units
ELEC4410,Advanced Control System Design,Not currently offered,10 units
ELEC4550,Wireless Communication,Semester 2 - 2020 (Callaghan),10 units
ELEC4570,Advanced Digital Communications,Not currently offered,10 units
ELEC4700,Advanced Computer Systems,Not currently offered,10 units
ELEC4720,Programmable Logic Design,Semester 2 - 2020 (Callaghan),10 units
ELEC4740,Internet of Things,Semester 1 - 2020 (Callaghan),10 units
ELEC4840,Final Year Engineering Project,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),30 units
ELEC4840A,Final Year Engineering Project Part A,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Trimester 3 - 2020 (Singapore),10 units
ELEC4840B,Final Year Engineering Project Part B,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Trimester 1 - 2020 (Singapore),20 units
ELEC6100,Electrical Systems,Semester 1 - 2020 (Callaghan),10 units
ELEC6160,Advanced Drives and Power Electronics,Semester 2 - 2020 (Callaghan),10 units
ELEC6210,Electronics Design,Semester 1 - 2020 (Callaghan),10 units
ELEC6251,Power Electronics and Renewable Systems,Semester 2 - 2020 (Callaghan),10 units
ELEC6400,Signal Processing,Semester 1 - 2020 (Callaghan),10 units
ELEC6500,Telecommunication Networks,Semester 2 - 2020 (Callaghan),10 units
ELEC6550,Wireless Communication,Semester 2 - 2020 (Callaghan),10 units
ELEC6700,Advanced Computer Systems,Not currently offered,10 units
ELEC6840,MPE Thesis,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
ELEC6840A,Final Year Project A,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
ELEC6840B,Final Year Project B,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
Back to top,Back to top,Back to top,Back to top
EMBA6001,Mindful Leadership,Trimester 1 - 2020 (Sydney),10 units
EMBA6002,Sustainable Organisational Change,Trimester 1 - 2020 (Sydney),10 units
EMBA6003,Enterprise Strategy for Global Uncertainty,Trimester 1 - 2020 (Sydney),10 units
EMBA6004,Innovation Management and Design,Trimester 2 - 2020 (Sydney),10 units
EMBA6005,Strategic Financial Management,Trimester 2 - 2020 (Sydney),10 units
EMBA6006,Project Design and Implementation,Trimester 2 - 2020 (Sydney),10 units
EMBA6007,"Tools, Techniques, and Transitions in a Digitally Changing Environment",Trimester 3 - 2020 (Sydney),10 units
EMBA6008,Executive Consulting for Managers and Leaders,Trimester 3 - 2020 (Sydney),10 units
Back to top,Back to top,Back to top,Back to top
EMGT6001,"Biodiversity, Conservation Science and Management.",Trimester 3 - 2020 (Online),10 units
Back to top,Back to top,Back to top,Back to top
ENGG1002,Introduction to Engineering Computations,Semester 2 - 2020 (Callaghan),10 units
