code,title,level,campus
CPCCBL3010A,Construct masonry arches,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPCCBL3011A,Construct curved walls,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPCCBL3012A,Construct fireplaces and chimneys,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPCCBL3013A,Construct masonry structural systems,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPCCBL3014A,Install fire-rated masonry construction,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPCCBL3015A,Construct decorative brickwork,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPCCBL3016A,Construct battered masonry walls and piers,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPCCBS6001,Research and evaluate construction methods and materials for residential buildings to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6002,Research and evaluate construction methods and materials for commercial buildings to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6003,Apply legal and ethical requirements to building surveying functions,TAFE (Vocational),Sunshine or Other
CPCCBS6004,Assess and advise on compliance of design documentation for residential buildings to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6005,Assess and advise on compliance of design documentation for commercial buildings to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6006,Process planning applications for residential buildings up to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6008,Process building applications for residential buildings up to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6009,Process building applications for commercial buildings up to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6010,Conduct and report on building surveying audits of residential buildings up to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6011,Conduct and report on building surveying audits of commercial buildings up to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6012,Conduct and report on initial construction inspections of residential buildings up to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6013,Conduct and report on initial construction inspections of commercial buildings up to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6014,Conduct and report on advanced and final inspections of residential buildings up to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6015,Conduct and report on advanced and final inspections of commercial buildings up to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS6016,Assess and advise on performance-based solutions for buildings up to three storeys,TAFE (Vocational),Sunshine or Other
CPCCBS8004,Advise on compliance of building design documentation,TAFE (Vocational),Sunshine or Other
CPCCBS8009,Lead a building surveying team,TAFE (Vocational),Sunshine or Other
CPCCCA2002B,Use carpentry tools and equipment,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA2003A,Erect and dismantle formwork for footings and slabs on ground,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA2011A,Handle carpentry materials,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3001A,Carry out general demolition of minor building structures,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3002A,Carry out setting out,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3003A,Install flooring systems,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3004A,Construct wall frames,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3005B,Construct ceiling frames,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3006B,Erect roof trusses,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3007C,Construct pitched roofs,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3008B,Construct eaves,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3009B,Construct advanced roofs,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3010A,Install and replace windows and doors,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3011A,Refurbish timber sashes to window frames,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3012A,Frame and fit wet area fixtures,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3013A,"Install lining, panelling and moulding",TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3014A,Construct bulkheads,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3015A,Assemble partitions,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3016A,Construct timber external stairs,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3017B,Install exterior cladding,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3018A,"Construct, erect and dismantle formwork for stairs and ramps",TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3019A,"Erect and dismantle formwork to suspended slabs, columns, beams and walls",TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3020A,Erect and dismantle jump form formwork,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3021A,Erect and dismantle slip form formwork,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3022A,Install curtain walling,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCA3023A,Carry out levelling operations,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCM1012A,Work effectively and sustainably in the construction industry,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCM1013A,Plan and organise work,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCM1014A,Conduct workplace communication,TAFE (Vocational),"City Flinders, Footscray Nicholson, Industry, St Albans, Sunshine, Werribee or Other"
CPCCCM1015A,Carry out measurements and calculations,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCM2001A,Read and interpret plans and specifications,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCM2002A,Carry out excavation,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCM2006,Apply basic levelling procedures,TAFE (Vocational),"Footscray Nicholson, Industry, Sunshine or Werribee"
CPCCCM2006B,Apply basic levelling procedures,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPCCCM2007B,Use explosive power tools,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCM2008B,Erect and dismantle restricted height scaffolding,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCM2009A,Carry out basic demolition,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPCCCM2010B,Work safely at heights,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCM3001C,Operate elevated work platforms,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCCM3003,"Work safely around electrical sources, services and assets",TAFE (Vocational),Sunshine
CPCCCO2013A,Carry out concreting to simple forms,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCJN2001A,Assemble components,TAFE (Vocational),Industry or Sunshine
CPCCJN2002B,Prepare for off-site manufacturing process,TAFE (Vocational),Industry or Sunshine
CPCCJN2003A,Package manufactured products for transport,TAFE (Vocational),Industry or Sunshine
CPCCJN3001A,Use static machines,TAFE (Vocational),Industry or Sunshine
CPCCJN3002A,Use computer-controlled machinery,TAFE (Vocational),Industry or Sunshine
CPCCJN3003A,Manufacture components for door and window frames and doors,TAFE (Vocational),Industry or Sunshine
CPCCJN3004A,Manufacture joinery components,TAFE (Vocational),Industry or Sunshine
CPCCJN3005A,Cut and install glass,TAFE (Vocational),Industry or Sunshine
CPCCJS3002A,Manufacture stair components for straight flighted stairs,TAFE (Vocational),Industry or Sunshine
CPCCJS3003A,Assemble and install stairs,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCJS3004A,Manufacture and install continuous handrailing and special stair components,TAFE (Vocational),Industry or Sunshine
CPCCJS3006A,Construct fabricated stairs,TAFE (Vocational),Industry or Sunshine
CPCCJS3011A,Design and set out stairs,TAFE (Vocational),Industry or Sunshine
CPCCLDG3001A,License to perform dogging,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPCCLRG3001A,License to perform rigging,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPCCLSF2001A,"Licence to erect, alter and dismantle scaffolding basic level",TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCOHS1001A,Work safely in the construction industry,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCOHS2001A,"Apply OHS requirements, policies and procedures in the construction industry",TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCPD3021A,Prepare surfaces for painting,TAFE (Vocational),Industry or Sunshine
CPCCSC2002A,Erect and dismantle basic scaffolding,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCSF2003A,Cut and bend materials using oxy-LPG equipment,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCSF2004A,Place and fix reinforcement materials,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCSG3001,Design and lay out digital signs for production,TAFE (Vocational),Sunshine
CPCCSG3002,Produce and apply vinyl signs,TAFE (Vocational),Sunshine
CPCCSG3003,Colour manage signs,TAFE (Vocational),Sunshine
CPCCSG3004,Print digital signs,TAFE (Vocational),Sunshine
CPCCSG3005,Engrave signs,TAFE (Vocational),Sunshine
CPCCSG3006,Apply gilding to signs,TAFE (Vocational),Sunshine
CPCCSG3009,Screen-print signs,TAFE (Vocational),Sunshine
CPCCSG3011,Install LED technology into signs,TAFE (Vocational),Sunshine
CPCCSG3012,Fabricate signs,TAFE (Vocational),Sunshine
CPCCSG3013,Paint letters and decorative effects for signs,TAFE (Vocational),Sunshine
CPCCSG3016,Prepare surfaces for signs,TAFE (Vocational),Sunshine
CPCCSG3017,Erect and install signs,TAFE (Vocational),Sunshine
CPCCSH2003A,Apply and install sealant and sealant devices,TAFE (Vocational),Sunshine
CPCCSH3001A,"Set out and assemble cabinets, showcases, wall units, counters and workstations",TAFE (Vocational),Industry or Sunshine
CPCCSH3005A,Apply and trim decorative finishes,TAFE (Vocational),Sunshine
CPCCSH3006A,Apply finishes,TAFE (Vocational),Industry or Sunshine
CPCCWC3003A,Install dry wall passive fire-rated systems,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCWHS1001,Prepare to work safely in the construction industry,TAFE (Vocational),"Industry, Sunshine, Werribee or Other"
CPCCWHS3001,Identify construction work hazards and select risk control strategies,TAFE (Vocational),Sunshine
CPCCWP2001A,Handle waterproofing materials,TAFE (Vocational),Sunshine or Werribee
CPCCWP2002A,Use waterproofing tools and equipment,TAFE (Vocational),Sunshine or Werribee
CPCCWP2003A,Prepare for construction waterproofing process,TAFE (Vocational),Sunshine or Werribee
CPCCWP2004A,Prepare surfaces for waterproofing application,TAFE (Vocational),Sunshine or Werribee
CPCCWP3001A,Apply waterproofing process to below ground level wet areas,TAFE (Vocational),Sunshine or Werribee
CPCCWP3002A,Apply waterproofing process to internal wet areas,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPCCWP3003A,Apply waterproofing process to external wet areas,TAFE (Vocational),Sunshine or Werribee
CPCCWP3004A,Apply waterproofing remedial processes,TAFE (Vocational),Sunshine or Werribee
CPCPCM2039A,Carry out interactive workplace communication,TAFE (Vocational),Industry or Sunshine
CPCPCM2040A,Read plans and calculate plumbing quantities,TAFE (Vocational),Industry or Sunshine
CPCPCM2041A,Work effectively in the plumbing and services sector,TAFE (Vocational),"Industry, Sunshine or Other"
CPCPCM2043A,Carry out WHS requirements,TAFE (Vocational),Industry or Sunshine
CPCPCM2045A,Handle and store plumbing materials,TAFE (Vocational),Industry or Sunshine
CPCPCM2046A,Use plumbing hand and power tools,TAFE (Vocational),Industry or Sunshine
CPCPCM2047A,Carry out levelling,TAFE (Vocational),Industry or Sunshine
CPCPCM2048A,Cut and join sheet metal,TAFE (Vocational),Industry or Sunshine
CPCPCM2049A,Cut using oxy-LPG-acetylene equipment,TAFE (Vocational),Industry or Sunshine
CPCPCM2050A,Mark out materials,TAFE (Vocational),Industry or Sunshine
CPCPCM2052A,Weld using oxy-acetylene equipment,TAFE (Vocational),Industry or Sunshine
CPCPCM2053A,Weld using manual metal arc welding equipment,TAFE (Vocational),Industry or Sunshine
CPCPCM2054A,Carry out simple concreting and rendering,TAFE (Vocational),Industry or Sunshine
CPCPCM2055A,Work safely on roofs,TAFE (Vocational),Industry or Sunshine
CPCPCM3021A,Flash penetrations through roofs and walls,TAFE (Vocational),Industry or Sunshine
CPCPCM3022A,Weld polyethylene and polypropylene pipes using fusion method,TAFE (Vocational),Industry or Sunshine
CPCPCM3023A,Fabricate and install non-ferrous pressure piping,TAFE (Vocational),Industry or Sunshine
CPCPCM4011A,Carry out work-based risk control processes,TAFE (Vocational),Industry or Sunshine
CPCPCM4012A,Estimate and cost work,TAFE (Vocational),"Industry, Online or Sunshine"
CPCPCM4013A,Produce 2D architectural drawings using CAD software,TAFE (Vocational),Industry or Sunshine
CPCPDR2021A,Locate and clear blockages,TAFE (Vocational),Industry or Sunshine
CPCPDR2022A,Install domestic treatment plants,TAFE (Vocational),Industry or Sunshine
CPCPDR2023A,Maintain effluent disinfection systems,TAFE (Vocational),Industry or Sunshine
CPCPDR2024A,Install stormwater and sub-soil drainage systems,TAFE (Vocational),"Industry, Sunshine or Other"
CPCPDR2025A,Drain work site,TAFE (Vocational),Industry or Sunshine
CPCPDR2026A,Install prefabricated inspection openings and enclosures,TAFE (Vocational),Industry or Sunshine
CPCPDR3021A,Plan layout of a residential sanitary drainage system,TAFE (Vocational),Industry or Sunshine
CPCPDR3022A,Install below ground sanitary drainage systems,TAFE (Vocational),Industry or Sunshine
CPCPDR3023A,Install on-site disposal systems,TAFE (Vocational),Industry or Sunshine
CPCPDR4011B,Design and size sanitary drainage systems,TAFE (Vocational),Industry or Sunshine
CPCPDR4012B,Design and size stormwater drainage systems,TAFE (Vocational),Industry or Sunshine
CPCPDR4013B,Design and size domestic treatment plant disposal systems,TAFE (Vocational),Industry or Sunshine
CPCPFS3031A,Fabricate and install fire hydrant and hose reel systems,TAFE (Vocational),Industry or Sunshine
CPCPFS3037A,Install domestic and residential life safety sprinkler systems,TAFE (Vocational),Industry or Sunshine
CPCPGS3046A,"Install LPG systems in caravans, mobile homes and mobile workplaces",TAFE (Vocational),Industry or Sunshine
CPCPGS3047A,Install LPG systems in marine craft,TAFE (Vocational),Industry or Sunshine
CPCPGS3048A,Install gas pressure control equipment,TAFE (Vocational),Industry or Sunshine
CPCPGS3049A,Install type a gas appliance flues,TAFE (Vocational),Industry or Sunshine
CPCPGS3050A,Install type b gas appliance flues,TAFE (Vocational),Industry or Sunshine
CPCPGS3051A,Purge consumer piping,TAFE (Vocational),Industry or Sunshine
CPCPGS3052A,Maintain type a gas appliances,TAFE (Vocational),Industry or Sunshine
CPCPGS3053A,Disconnect and reconnect type A gas appliances,TAFE (Vocational),Industry or Sunshine
CPCPGS3054A,Calculate and install natural ventilation for type a gas appliances,TAFE (Vocational),Industry or Sunshine
CPCPGS3056A,Install gas piping systems,TAFE (Vocational),Industry or Sunshine
CPCPGS3057A,Size consumer gas piping systems,TAFE (Vocational),Industry or Sunshine
CPCPGS3059A,Install LPG storage of aggregate storage capacity up to 500 litres,TAFE (Vocational),Industry or Sunshine
CPCPGS3060A,Install LPG storage of aggregate storage capacity exceeding 500 litres and less than 8kl,TAFE (Vocational),Industry or Sunshine
CPCPGS3061A,Install and commission type a gas appliances,TAFE (Vocational),Industry or Sunshine
CPCPGS4011C,Design and size consumer gas installations,TAFE (Vocational),Industry or Sunshine
CPCPIG2021A,Design domestic urban irrigation systems,TAFE (Vocational),Industry or Sunshine
CPCPIG3021A,"Set out, install and commission irrigation systems",TAFE (Vocational),Industry or Sunshine
CPCPIG3022A,Install and commission domestic irrigation pumps,TAFE (Vocational),Industry or Sunshine
CPCPMS2021A,Assemble mechanical services components,TAFE (Vocational),Industry or Sunshine
CPCPMS3031A,Fabricate and install steel pressure piping,TAFE (Vocational),Industry or Sunshine
CPCPMS3032A,Select and fit insulation and sheathing,TAFE (Vocational),Industry or Sunshine
CPCPMS3033A,Install small bore heating systems,TAFE (Vocational),Industry or Sunshine
CPCPMS3034A,Install medical gas pipeline systems,TAFE (Vocational),Industry or Sunshine
CPCPMS3035A,Install and test ducting systems,TAFE (Vocational),Industry or Sunshine
CPCPMS3036A,Install air handling units,TAFE (Vocational),Industry or Sunshine
CPCPMS3037A,Install and test split system air conditioning,TAFE (Vocational),Industry or Sunshine
CPCPMS3038A,Install air conditioning control equipment,TAFE (Vocational),Industry or Sunshine
CPCPMS3039A,Maintain mechanical services equipment,TAFE (Vocational),Industry or Sunshine
CPCPMS3040A,Install and maintain evaporative air cooling systems,TAFE (Vocational),Industry or Sunshine
CPCPMS4011B,"Design, size and lay out heating and cooling systems",TAFE (Vocational),Industry or Sunshine
CPCPRF2022A,Select and install roof sheeting and wall cladding,TAFE (Vocational),Industry or Sunshine
CPCPRF2023A,Collect and store roof water,TAFE (Vocational),Industry or Sunshine
CPCPRF2024A,Fabricate roof coverings for curved structures,TAFE (Vocational),Industry or Sunshine
CPCPRF3021A,Receive roofing materials,TAFE (Vocational),Industry or Sunshine
CPCPRF3022A,Fabricate and install roof drainage components,TAFE (Vocational),Industry or Sunshine
CPCPRF3023A,Fabricate and install external flashings,TAFE (Vocational),Industry or Sunshine
CPCPRF3024A,Install roof components,TAFE (Vocational),Industry or Sunshine
CPCPRF3025A,Install roof coverings to curved roof structures,TAFE (Vocational),Industry or Sunshine
CPCPRF3026A,Install composite roof systems,TAFE (Vocational),Industry or Sunshine
CPCPRF4011B,Design and size roof drainage systems,TAFE (Vocational),Industry or Sunshine
CPCPSN3011B,Plan layout of a residential sanitary plumbing system,TAFE (Vocational),Industry or Sunshine
CPCPSN3022A,Install discharge pipes,TAFE (Vocational),Industry or Sunshine
CPCPSN3023A,Fabricate and install sanitary stacks,TAFE (Vocational),Industry or Sunshine
CPCPSN3024A,Install and fit off sanitary fixtures,TAFE (Vocational),Industry or Sunshine
CPCPSN3025A,Install pre-treatment facilities,TAFE (Vocational),Industry or Sunshine
CPCPSN3026A,Install sewerage pumpsets,TAFE (Vocational),Industry or Sunshine
CPCPSN4011B,Design and size sanitary plumbing systems,TAFE (Vocational),Industry or Sunshine
CPCPWT3020A,Connect and install storage tanks to a domestic water supply,TAFE (Vocational),Industry or Sunshine
CPCPWT3021A,Set out and install water services,TAFE (Vocational),Industry or Sunshine
CPCPWT3022A,Install and adjust water service controls and devices,TAFE (Vocational),Industry or Sunshine
CPCPWT3023A,Install and commission water heating systems,TAFE (Vocational),Industry or Sunshine
CPCPWT3024A,Install and maintain domestic water treatment equipment,TAFE (Vocational),Industry or Sunshine
CPCPWT3025A,Install water pumpsets,TAFE (Vocational),Industry or Sunshine
CPCPWT3026A,Fit off and commission heated and cold water services,TAFE (Vocational),Industry or Sunshine
CPCPWT3027A,Connect irrigation systems from drinking water supply,TAFE (Vocational),Industry or Sunshine
CPCPWT3028A,Install water services,TAFE (Vocational),Industry or Sunshine
CPCPWT3029A,Install water pipe systems,TAFE (Vocational),Industry or Sunshine
CPCPWT4011B,Design and size heated and cold water services and systems,TAFE (Vocational),Industry or Sunshine
CPCPWT4022A,Commission and maintain backflow prevention devices,TAFE (Vocational),Industry or Sunshine
CPCSUS5001A,Develop workplace policies and procedures for sustainability,TAFE (Vocational),Industry or Sunshine
CPPCCL2008,Clean carpeted floors,TAFE (Vocational),Sunshine or Werribee
CPPCLO2002,Clean hard floor surfaces,TAFE (Vocational),Sunshine or Werribee
CPPCLO2005,Maintain glass surfaces,TAFE (Vocational),Sunshine or Werribee
CPPCLO2009A,Clean glass surfaces,TAFE (Vocational),"Footscray Nicholson, Industry, St Albans or Werribee"
CPPCLO2014,Clean and arrange furniture and fittings,TAFE (Vocational),Sunshine or Werribee
CPPCLO2016,Clean wet surfaces,TAFE (Vocational),Sunshine or Werribee
CPPCLO2018,"Sort, remove and recycle waste material",TAFE (Vocational),Sunshine or Werribee
CPPCLO2032,Plan basic cleaning activities,TAFE (Vocational),Sunshine or Werribee
CPPCLO2034,Maintain storage area and cleaning equipment,TAFE (Vocational),Sunshine or Werribee
CPPCLO2042,Clean surfaces using microfibre equipment,TAFE (Vocational),Sunshine or Werribee
CPPCLO3001,Maintain hard floor surfaces,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPPCLO3002,Restore hard floor surfaces,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPPCLO3002A,Restore hard floor surfaces,TAFE (Vocational),"Footscray Nicholson, Industry, St Albans or Werribee"
CPPCLO3003,Clean using safe work practices,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPPCLO3005,Confirm and apply privacy and security requirements for cleaning work,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPPCLO3006,Clean carpets,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPPCLO3007,Remove carpet stains,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPPCLO3009,Clean glass surfaces,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPPCLO3013,Clean window coverings,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPPCLO3017,Clean wet areas,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPPCLO3019,Remove waste and recyclable materials,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPPCLO3020,Pressure wash and clean surfaces,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPPCLO3035,Maintain cleaning storage areas,TAFE (Vocational),"Industry, Sunshine or Werribee"
CPPCLO4022A,Organise and monitor cleaning operations,TAFE (Vocational),"Footscray Nicholson, Industry, St Albans or Werribee"
CPPCMN2002,Participate in workplace safety arrangements,TAFE (Vocational),Sunshine or Werribee
CPPCMN2004,Provide basic client services,TAFE (Vocational),Sunshine or Werribee
CPPCMN3006,Provide effective client service,TAFE (Vocational),"Industry, Sunshine or Werribee"
CUAACD301,Produce drawings to communicate ideas,TAFE (Vocational),Footscray Nicholson
CUAACD302,Produce computer-aided drawings,TAFE (Vocational),"Industry, Sunshine or Other"
CUAACD401,Integrate colour theory and design processes,TAFE (Vocational),Footscray Nicholson
CUAACD501,Refine drawing and other visual representation tools,TAFE (Vocational),Footscray Nicholson
CUAACD505,Work with the human form in creative practice,TAFE (Vocational),Footscray Nicholson
CUAACD506,Refine 2-D design ideas and processes,TAFE (Vocational),Footscray Nicholson
CUAACD507,Refine 3-D design ideas and processes,TAFE (Vocational),Footscray Nicholson
CUAACD512,Work with photomedia in creative practice,TAFE (Vocational),Footscray Nicholson
CUACMP301,Implement copyright arrangements,TAFE (Vocational),Footscray Nicholson
CUACMP311,Implement copyright arrangements,TAFE (Vocational),Footscray Nicholson or Online
CUADES401,Research and apply techniques for the design of wearable objects,TAFE (Vocational),Footscray Nicholson
CUADIG304,Create visual design components,TAFE (Vocational),Footscray Nicholson
CUADIG401,Author interactive media,TAFE (Vocational),Footscray Nicholson
CUADIG403,Create user interfaces,TAFE (Vocational),Footscray Nicholson
CUADIG404,Apply scripting language in authoring,TAFE (Vocational),Footscray Nicholson
CUADIG406,Produce innovative video art,TAFE (Vocational),Footscray Nicholson
CUADIG508,Refine digital art techniques,TAFE (Vocational),Footscray Nicholson
CUADIG509,Investigate technologies for the creation of digital art,TAFE (Vocational),Footscray Nicholson
CUADRA401,Experiment with techniques to produce drawings,TAFE (Vocational),Footscray Nicholson
CUAEVP403,Install and dismantle exhibition elements,TAFE (Vocational),Footscray Nicholson
CUAFOH501,Manage front of house services,TAFE (Vocational),Footscray Nicholson or Footscray Park
CUAGRD302,Use typography techniques,TAFE (Vocational),Footscray Nicholson
CUAGRD501,Research visual communication history and theory,TAFE (Vocational),Footscray Nicholson
CUAGRD502,Produce graphic designs for 2-D and 3-D applications,TAFE (Vocational),Footscray Nicholson
CUAGRD503,Produce typographic design solutions,TAFE (Vocational),Footscray Nicholson
CUAGRD504,Create and manipulate graphics,TAFE (Vocational),Footscray Nicholson
CUAGRD505,Design and manipulate complex layouts,TAFE (Vocational),Footscray Nicholson
CUAGRD506,Develop graphic design practice to meet industry needs,TAFE (Vocational),Footscray Nicholson
CUAGRD601,Engage in the business of graphic design,TAFE (Vocational),Footscray Nicholson
CUAIND301A,Work effectively in the creative arts industry,TAFE (Vocational),Footscray Nicholson or Online
CUAIND303,Work effectively in the music industry,TAFE (Vocational),Footscray Nicholson
CUAIND311,Work effectively in the creative industries,TAFE (Vocational),Footscray Nicholson or Online
CUAIND402,Provide freelance services,TAFE (Vocational),City King or Footscray Nicholson
CUAIND502,Maintain and apply creative arts industry knowledge,TAFE (Vocational),City King or Footscray Nicholson
CUAMCP303,Develop simple musical pieces using electronic media,TAFE (Vocational),Footscray Nicholson
CUAMCP501,Compose music using electronic media,TAFE (Vocational),Footscray Nicholson
CUAMCP502,Compose music for screen,TAFE (Vocational),Footscray Nicholson
CUAMCP601,Extend techniques for arranging music,TAFE (Vocational),Footscray Nicholson
CUAMCP602,Extend techniques for composing music,TAFE (Vocational),Footscray Nicholson
CUAMLT302,Apply knowledge of style and genre to music industry practice,TAFE (Vocational),Footscray Nicholson
CUAMLT403,Develop skills in analysis of functional harmony,TAFE (Vocational),Footscray Nicholson
CUAMLT501,Refine aural perception skills,TAFE (Vocational),Footscray Nicholson
CUAMLT502,Apply concepts of music and society to professional practice,TAFE (Vocational),Footscray Nicholson
CUAMLT602,Analyse harmony,TAFE (Vocational),Footscray Nicholson
CUAMPF301,Develop technical skills in performance,TAFE (Vocational),Footscray Nicholson
CUAMPF302,Prepare for performances,TAFE (Vocational),Footscray Nicholson or Industry
CUAMPF305,Develop improvisation skills,TAFE (Vocational),Footscray Nicholson
CUAMPF401,Rehearse music for group performances,TAFE (Vocational),Footscray Nicholson
CUAMPF402,Develop and maintain stagecraft skills,TAFE (Vocational),Footscray Nicholson or Industry
CUAMPF403,Develop repertoire as part of a backup group,TAFE (Vocational),Footscray Nicholson
CUAMPF404,Perform music as part of a group,TAFE (Vocational),Footscray Nicholson or Industry
CUAMPF405,Develop instrumental techniques,TAFE (Vocational),Footscray Nicholson
CUAMPF406,Perform music as a soloist,TAFE (Vocational),Footscray Nicholson
CUAMPF408,Develop performance techniques on a second instrument,TAFE (Vocational),Footscray Nicholson
CUAMPF501,Prepare a program for performance,TAFE (Vocational),Footscray Nicholson
CUAMPF505,Develop technical skills and expand repertoire,TAFE (Vocational),Footscray Nicholson
CUAMPF601,Present a music performance,TAFE (Vocational),Footscray Nicholson
CUAMPF602,Manage stagecraft aspects of performances,TAFE (Vocational),Footscray Nicholson
CUAMPF603,Refine performance techniques and expand repertoire,TAFE (Vocational),Footscray Nicholson
CUAMPF607,Lead music rehearsals,TAFE (Vocational),Footscray Nicholson
CUAMUP401,"Design, apply and remove make-up",TAFE (Vocational),City King
CUAMUP402,Maintain make-up and hair continuity,TAFE (Vocational),City King
CUAMUP403,Style hair for performances or productions,TAFE (Vocational),City King
CUAMUP404,Style wigs and hairpieces for performances or productions,TAFE (Vocational),City King
CUAMUP502,Design and apply specialised make-up,TAFE (Vocational),City King
CUAMUP503,Design and apply special make-up effects,TAFE (Vocational),City King
CUAPHI507,Produce media photo images,TAFE (Vocational),Footscray Nicholson
CUAPHI513,Employ colour management in a digital imaging workplace,TAFE (Vocational),Footscray Nicholson
CUAPOS201,Perform basic vision and sound editing,TAFE (Vocational),"Footscray Nicholson, Industry, St Albans or Werribee"
CUAPPR401,Realise a creative project,TAFE (Vocational),Footscray Nicholson or Online
CUAPPR501,Realise a body of creative work,TAFE (Vocational),Footscray Nicholson
CUAPPR502,Develop own sustainable professional practice,TAFE (Vocational),Footscray Nicholson
CUAPPR503,Present a body of own creative work,TAFE (Vocational),Footscray Nicholson
CUAPPR505,Establish and maintain safe creative practice,TAFE (Vocational),City King or Footscray Nicholson
CUAPPR603,Engage in the business of creative practice,TAFE (Vocational),Footscray Nicholson
CUAPRE401,Implement preventive conservation activities,TAFE (Vocational),Footscray Nicholson or Online
