code,title,type
LAWS17-798,Practical Company and Commercial Law,Undergraduate
LAWS17-801,Mediation and Dispute Resolution Practice 1,Undergraduate
LAWS17-802,Mediation and Dispute Resolution Practice 2,Undergraduate
LAWS17-803,Family Dispute Resolution 1,Undergraduate
LAWS17-804,Family Dispute Resolution 2,Undergraduate
LAWS17-805,Law and Social Justice: Supporting Capacity and Capability,Undergraduate
LAWS17-806,Energy Law,Undergraduate
LAWS17-807,Dispute Resolution in International Tax,Undergraduate
LING11-102,World Languages,Undergraduate
MEDI11-101,Health and Wellbeing Across the Generations Part A,Undergraduate
MEDI11-102,Health and Wellbeing Across the Generations Part B,Undergraduate
MEDI12-201,Challenges to Health Part A,Undergraduate
MEDI12-202,Challenges to Health Part B,Undergraduate
MEDI12-203,Challenges to Health Part C,Undergraduate
MEDI13-301,Understanding and Recognition of Illness Part A,Undergraduate
MEDI13-302,Understanding and Recognition of Illness Part B,Undergraduate
MEDI13-303,Understanding and Recognition of Illness Part C,Undergraduate
MGMT11-101,Organisational Behaviour,Undergraduate
MGMT11-201,Responsible and Sustainable Business,Undergraduate
MGMT13-305,Human Resource Management,Undergraduate
MGMT13-311,Managing Strategic Change,Undergraduate
MGMT13-320,Leadership,Undergraduate
MGMT13-321,Negotiation,Undergraduate
MGMT13-324,Cross Cultural Management,Undergraduate
MGMT13-325,Doing Business in Australia,Undergraduate
MGMT13-327,Operations and Supply Chain Management,Undergraduate
MKTG11-100,Marketing,Undergraduate
MKTG12-301,Consumer and Buyer Behaviour,Undergraduate
MKTG13-301,International Marketing,Undergraduate
MKTG13-302,Promotional Design and Planning,Undergraduate
MKTG13-303,Market Research and Analysis,Undergraduate
MKTG13-312,Internet and Social Media Marketing,Undergraduate
MKTG13-319,Digital and Direct Marketing,Undergraduate
MKTG13-320,Strategic Marketing,Undergraduate
MMDE11-100,Design Communications,Undergraduate
MMDE11-140,Digital Media Design,Undergraduate
MMDE11-150,Interactive Web Design,Undergraduate
MMDE11-200,Responsive Web Design,Undergraduate
MMDE11-300,Sketching with Code,Undergraduate
MMDE12-221,Introduction to Code for Creatives,Undergraduate
MMDE12-250,3D Modelling and Visualisation,Undergraduate
MMDE12-251,Interactive Media Design Studio 1,Undergraduate
MMDE12-252,Interactive Media Design Studio 2,Undergraduate
MMDE12-253,Interactive Media Design Studio 3,Undergraduate
MMDE13-340,Animation,Undergraduate
MMDE13-373,User Experience Design,Undergraduate
NUTR11-101,"Food, Nutrition and Health",Undergraduate
NUTR12-101,Sport and Exercise Nutrition,Undergraduate
NUTR13-101,Human Nutrition,Undergraduate
PHIL11-101,Introduction to Philosophy,Undergraduate
PHIL11-106,Understanding East Asian Cultures,Undergraduate
PHIL11-107,"Gender, Race and Class",Undergraduate
PHIL11-121,Cultural and Ethical Values,Undergraduate
PHIL11-130,Philosophy and Film,Undergraduate
PHIL12-203,Buddhist Philosophy,Undergraduate
PHIL12-205,"Political Philosophy: Freedom, Justice and the State",Undergraduate
PHIL12-260,Philosophy of Religion,Undergraduate
PSYC11-100,Foundations of Psychology: Biology and Personality,Undergraduate
PSYC11-101,"Foundations of Psychology: Development, Learning and Social",Undergraduate
PSYC11-105,Statistics and Data Analysis 1,Undergraduate
PSYC11-116,"Love, Sex and Relationships",Undergraduate
PSYC12-200,Statistics and Data Analysis 2,Undergraduate
PSYC12-202,Positive Well-Being,Undergraduate
PSYC12-211,Psychology at Work,Undergraduate
PSYC12-214,Biological Psychology,Undergraduate
PSYC12-225,Cross-Cultural Psychology,Undergraduate
PSYC12-250,Learning and Behaviour,Undergraduate
PSYC12-315,Developmental Psychology,Undergraduate
PSYC12-325,Social Psychology,Undergraduate
PSYC13-301,Cognitive Psychology,Undergraduate
PSYC13-302,"Personality, Assessment and Individual Differences",Undergraduate
PSYC13-305,Research Methods in Psychology,Undergraduate
PSYC13-306,Counselling Psychology,Undergraduate
PSYC13-308,Drugs and Behaviour,Undergraduate
PSYC13-312,Psychopathology,Undergraduate
PSYC13-316,Motivation and Emotion,Undergraduate
PSYC13-317,Applied Psychology,Undergraduate
PSYC13-339,Introduction to Forensic Psychology,Undergraduate
PSYC13-345,Statistics and Data Analysis 3,Undergraduate
PSYC13-408,Neuropsychology,Undergraduate
PUBR11-100,Introduction to Public Relations,Undergraduate
PUBR12-100,Social Media Strategy and Tactics,Undergraduate
PUBR12-235,Media Strategies,Undergraduate
PUBR12-250,Corporate Storytelling,Undergraduate
PUBR13-312,Public Relations Campaigns and Strategies,Undergraduate
PUBR13-313,Crisis Communication,Undergraduate
PUBR13-314,Sport Public Relations,Undergraduate
SDEM12-204,Environmental Field Analysis of Rainforest and Coastal Regions,Undergraduate
SDEM12-205,Restoration Ecology,Undergraduate
SDES11-109,Marine and Coastal Environments,Undergraduate
SDES11-117,Urban Wildlife Management,Undergraduate
SDUP12-201,Land Use and Infrastructure Development,Undergraduate
SPEX11-101,Psychology of Sport and Exercise 1,Undergraduate
SPEX11-102,Foundations of Exercise and Sport Science,Undergraduate
SPEX11-103,Biochemistry of Exercise and Sport,Undergraduate
SPEX11-104,"Sport, Health and Exercise Psychology",Undergraduate
SPEX11-113,Functional Anatomy,Undergraduate
SPEX11-303,Principles of Biomechanics,Undergraduate
SPEX11-304,Biomechanics of Exercise and Sport,Undergraduate
SPEX12-306,Physiology of Exercise,Undergraduate
SPEX12-309,Motor Control and Learning,Undergraduate
SPEX12-310,Exercise Health and Disease,Undergraduate
SPEX12-311,Motor Control and Learning in Exercise and Sport,Undergraduate
SPEX12-312,Physiology and Biochemistry of Exercise and Sport,Undergraduate
SPEX12-313,Introduction to Professional Practice in Exercise and Sport Science,Undergraduate
SPEX12-331,Professional Practice and Practicum 1,Undergraduate
SPEX13-300,Exercise and Sports Performance Practice and Practicum (Capstone Project),Undergraduate
SPEX13-311,Psychology of Sport and Exercise 2,Undergraduate
SPEX13-312,Advanced Physiology of Exercise,Undergraduate
SPEX13-318,Exercise Prescription and Practice 1,Undergraduate
SPEX13-325,Advanced Biomechanics and Motor Control,Undergraduate
SPEX13-327,Exercise Prescription and Practice 2,Undergraduate
SPEX13-332,Professional Practice and Practicum 2,Undergraduate
SPEX13-333,Professional Practice and Practicum (Capstone Project),Undergraduate
SPEX13-334,Behaviour Change to Enhance Health,Undergraduate
SPEX13-335,"Exercise Testing, Prescription and Delivery",Undergraduate
SPEX13-336,Advanced Physiology and Biochemistry of Exercise and Sport,Undergraduate
SPEX13-337,Exercise and Sport for Lifelong Health,Undergraduate
SPEX13-338,"Advanced Exercise Testing, Prescription and Delivery",Undergraduate
SPEX13-339,Advanced Biomechanics of Exercise and Sport,Undergraduate
SPMT11-115,"Sport Organisation, Governance and Policy",Undergraduate
SPMT12-103,Sport Communication,Undergraduate
SPMT12-121,Sport Development,Undergraduate
SPMT12-124,International Sport Business,Undergraduate
SPMT13-125,High Performance Sport Management,Undergraduate
SPMT13-700,Professional Experience Sport Management,Undergraduate
SPNL11-100,Spanish Language 1,Undergraduate
SPNL11-101,Spanish Language and Culture,Undergraduate
SPNL11-110,Spanish Language 2,Undergraduate
SPNL11-111,Spanish Language 3,Undergraduate
SPNL11-112,Spanish in Business and Media,Undergraduate
SPNL12-210,Spanish Language 4,Undergraduate
SPNL13-300,Spanish Language 5,Undergraduate
SPNL13-310,Spanish Language 6,Undergraduate
SSUD11-101,Understanding Buildings 1,Undergraduate
SSUD11-102,Sustainable Development and Society,Undergraduate
SSUD11-103,Transforming Places,Undergraduate
SSUD11-105,Land Economy and the Environment,Undergraduate
SSUD11-106,Real Estate Property Rights,Undergraduate
SSUD11-107,"Sun, Sand, Surf and Cities: Waikiki to Gold Coast",Undergraduate
SSUD11-108,Walkable and Bikeable: Healthy Lifestyle Cities,Undergraduate
SSUD11-109,Property Asset Management,Undergraduate
SSUD11-200,Principles of Property Valuation,Undergraduate
SSUD11-211,Economics of Sustainable Development,Undergraduate
SSUD11-300,Planning Process,Undergraduate
SSUD12-100,Property Development,Undergraduate
SSUD12-103,Managing Projects,Undergraduate
SSUD12-104,Understanding Buildings 2,Undergraduate
SSUD12-106,Project Delivery Systems,Undergraduate
SSUD12-107,Commercial Property Valuation,Undergraduate
SSUD12-108,Professional Practice and Standards,Undergraduate
SSUD12-109,Socialising Process Change,Undergraduate
SSUD12-110,Project Schedule Management,Undergraduate
SSUD12-111,Project Cost Management,Undergraduate
SSUD12-112,Project Resource Management,Undergraduate
SSUD12-113,Project Scope Management,Undergraduate
SSUD12-114,Project Quality Management,Undergraduate
SSUD12-115,Project Procurement Management,Undergraduate
SSUD12-116,Project Communications Management,Undergraduate
SSUD12-117,Project Risk Management,Undergraduate
SSUD12-118,Project Stakeholder Management,Undergraduate
SSUD12-119,Project Integration Management,Undergraduate
SSUD12-120,Process Reengineering,Undergraduate
SSUD12-200,Spatial Information Systems,Undergraduate
SSUD12-202,"Property Trusts, Finance and Taxation",Undergraduate
SSUD12-207,Project Planning and Scheduling,Undergraduate
SSUD12-208,Economic and Social Foundations of Planning,Undergraduate
SSUD12-212,Environmental and Economic Impact Assessment,Undergraduate
SSUD12-220,Principles of Urban Design,Undergraduate
SSUD12-231,Property Agency and Marketing,Undergraduate
SSUD12-304,Asset and Facilities Management,Undergraduate
SSUD12-308,Project Contract Administration,Undergraduate
SSUD12-309,Building Services,Undergraduate
SSUD12-313,Commercial Construction and Engineering,Undergraduate
SSUD12-317,Measurement 1,Undergraduate
SSUD12-700,Internship in Sustainable Development,Undergraduate
ACCT71-301,Financial Accounting & Reporting,Postgraduate
ACCT71-303,Advanced Financial Accounting & Reporting,Postgraduate
ACCT71-305,Auditing,Postgraduate
ACCT71-308,Taxation Practice for Accountants,Postgraduate
ACCT71-315,Applied Research Project,Postgraduate
ACCT71-511,Security Appraisal and Valuation,Postgraduate
ACCT71-600,Accounting Principles,Postgraduate
ACCT71-601,Information Analysis and Systems,Postgraduate
ACCT71-606,Management Accounting and Strategy,Postgraduate
ACSC71-200,Mathematical Statistics,Postgraduate
ACSC71-201,Financial Mathematics,Postgraduate
ACSC71-300,Insurance Models,Postgraduate
ACSC71-301,Contingencies,Postgraduate
ACSC71-302,Advanced Modelling,Postgraduate
ACSC71-304,Stochastic Modelling,Postgraduate
ACSC71-305,Actuarial and Financial Models,Postgraduate
ACSC71-400,Actuarial Control Cycle 1,Postgraduate
ACSC71-401,Actuarial Control Cycle 2,Postgraduate
ACSC71-402,Investments and Asset Modelling,Postgraduate
ACSC71-403,Actuarial Research Essay,Postgraduate
ACCT71-301,Financial Accounting & Reporting,Postgraduate
ACCT71-303,Advanced Financial Accounting & Reporting,Postgraduate
ACCT71-305,Auditing,Postgraduate
ACCT71-308,Taxation Practice for Accountants,Postgraduate
ACCT71-315,Applied Research Project,Postgraduate
ACCT71-511,Security Appraisal and Valuation,Postgraduate
ACCT71-600,Accounting Principles,Postgraduate
ACCT71-601,Information Analysis and Systems,Postgraduate
ACCT71-606,Management Accounting and Strategy,Postgraduate
ACSC71-200,Mathematical Statistics,Postgraduate
ACSC71-201,Financial Mathematics,Postgraduate
ACSC71-300,Insurance Models,Postgraduate
ACSC71-301,Contingencies,Postgraduate
ACSC71-302,Advanced Modelling,Postgraduate
ACSC71-304,Stochastic Modelling,Postgraduate
ACSC71-305,Actuarial and Financial Models,Postgraduate
ACSC71-400,Actuarial Control Cycle 1,Postgraduate
ACSC71-401,Actuarial Control Cycle 2,Postgraduate
ACSC71-402,Investments and Asset Modelling,Postgraduate
ACSC71-403,Actuarial Research Essay,Postgraduate
ACSC72-403,Actuarial Research Thesis Part A,Postgraduate
ACSC72-404,Actuarial Research Thesis Part B,Postgraduate
ADVT71-102,Advertising Masterclass,Postgraduate
ADVT71-103,"Design, Thinking and Ideation in Advertising",Postgraduate
ADVT71-104,"Consumption, Experience and Design",Postgraduate
ADVT71-111,Advertising Studio I,Postgraduate
ADVT71-600,Special Topic in Advertising,Postgraduate
ADVT72-222,Advertising Studio II,Postgraduate
ADVT73-333,Advertising Studio III,Postgraduate
ARCH70-123,Design Thinking Through Drawing,Postgraduate
ARCH70-126,Designing for Sustainable Futures,Postgraduate
ARCH70-127,BIM and Documentation,Postgraduate
ARCH70-138,Digital Design and Prototyping,Postgraduate
ARCH71-109,Supervised Independent Study,Postgraduate
ARCH71-110,Special Topics in Design Communication,Postgraduate
ARCH71-111,Special Topic in Design Technology,Postgraduate
ARCH71-112,Contemporary Architectural Theory and Urban Theory,Postgraduate
ARCH71-113,Professional Practice 1,Postgraduate
ARCH71-114,Professional Practice 2,Postgraduate
ARCH71-115,Research Analysis and Representation,Postgraduate
ARCH71-116,Architecture Study Tour,Postgraduate
ARCH71-117,World Architecture and Urbanism,Postgraduate
ARCH71-118,Architectural Practice: Management and Procurement,Postgraduate
ARCH71-119,Architecture and Urbanism Studio: Designing the City-Region,Postgraduate
ARCH71-120,Architecture and Urbanism Studio: Global Cities,Postgraduate
ARCH71-123,Architecture and Urbanism Studio: High Performance Building,Postgraduate
ARCH71-124,Design Practice Futures and Frameworks,Postgraduate
ARCH71-125,Materials and Methods,Postgraduate
ARCH71-126,Design Systems for Environmental Sustainability,Postgraduate
ARCH71-127,Design Thesis Research and Development,Postgraduate
ARCH71-132,Creative Design Studio: Material,Postgraduate
ARCH71-133,Creative Design Studio: Landscape,Postgraduate
ARCH71-134,Urban Futures and Parametric Cities,Postgraduate
ARCH71-135,Architecture and Urbanism of Asia Pacific,Postgraduate
ARCH71-139,Digital Design and Intelligent Construction,Postgraduate
ARCH71-140,Creative Design Studio: Atmosphere,Postgraduate
ARCH72-401,Architecture Design Studio 7,Postgraduate
ARCH72-402,Architecture Design Studio 8,Postgraduate
ARCH72-501,Architecture Design Studio 9,Postgraduate
ARCH72-502,Architecture and Urbanism: Thesis Studio,Postgraduate
ARCH73-100,Integrated Design Management,Postgraduate
ARCH73-101,Professional Portfolio,Postgraduate
BMBA70-810,"Individuals, Teams and Leadership",Postgraduate
BMBA70-820,Interpersonal Dynamics,Postgraduate
BMBA70-830,Effective Decision Making,Postgraduate
BMBA70-840,Motivation and Organisation,Postgraduate
BMBA70-850,Managerial Economics,Postgraduate
BMBA70-860,Marketing for Managers,Postgraduate
BMBA70-870,Accounting for Managers,Postgraduate
BMBA70-880,Financial Decision Making,Postgraduate
BMBA71-301,Data Analytics for Decision Making,Postgraduate
BMBA71-302,Strategic Insight,Postgraduate
BMBA71-303,MBA Capstone,Postgraduate
BUSN71-010,MBA Orientation,Postgraduate
BUSN71-300,Silicon Valley Study Tour,Postgraduate
BUSN71-310,Research Project,Postgraduate
BUSN71-620,Individual Study in Business,Postgraduate
BUSN71-700,Business Internship,Postgraduate
BUSN71-701,Professional Portfolio,Postgraduate
BUSN71-705,Professional Development,Postgraduate
BUSN73-401,The Science of Business,Postgraduate
BUSN73-402,Quantitative Methods,Postgraduate
BUSN73-403,Advanced Econometrics,Postgraduate
BUSN73-601,Special Discipline Topic A,Postgraduate
BUSN73-602,Special Discipline Topic B,Postgraduate
BUSN73-603,Special Discipline Topic C,Postgraduate
BUSN73-604,Special Discipline Topic D,Postgraduate
BUWI73-701,Bond University Washington Internship Program,Postgraduate
BUWI73-711,Bond University Washington Internship Program,Postgraduate
COMN71-102,Social Media: Risks and Opportunities,Postgraduate
COMN71-103,Human Communication Theory,Postgraduate
COMN71-104,Relational Communication,Postgraduate
COMN71-105,Strategic Organisational Communication and Leadership,Postgraduate
COMN71-106,Mastering Public Speaking,Postgraduate
COMN71-600,Special Topic in Communication and Media,Postgraduate
COMN71-710,Communication Internship and Portfolio,Postgraduate
COMN73-100,Professional Portfolio,Postgraduate
CRIM71-102,Crime Analysis and Profiling,Postgraduate
CRIM71-103,Transnational Crime,Postgraduate
CRIM71-105,Genocide - A sociological and criminological approach,Postgraduate
CRIM71-320,Forensic Criminology,Postgraduate
CRIM71-600,Advanced Special Study in Criminology,Postgraduate
CRIM71-700,Criminology Internship and Portfolio,Postgraduate
CRIM73-100,Professional Portfolio,Postgraduate
DIGM70-101,Graphic Design,Postgraduate
DIGM70-202,Creating AR and VR for Design,Postgraduate
DTSC71-100,Business Analytics Coding,Postgraduate
DTSC71-104,Health Analytics and Data Management,Postgraduate
DTSC71-200,Data Science,Postgraduate
DTSC71-300,Big Data Infrastructure,Postgraduate
DTSC71-301,Machine Learning in Business,Postgraduate
DTSC71-302,Statistical Learning and Regression Models,Postgraduate
DTSC71-303,Big Data Analytics Case Studies,Postgraduate
DTSC71-304,Advanced Big Data Projects,Postgraduate
DTSC71-305,Financial Trading Systems,Postgraduate
DTSC71-306,Advanced Machine Learning in Business,Postgraduate
DTSC71-307,Advanced Statistical Learning Models,Postgraduate
ECON71-104,Managerial Economics,Postgraduate
ECON71-200,Econometrics,Postgraduate
ECON71-202,Macroeconomics,Postgraduate
ECON71-300,Advanced Econometrics,Postgraduate
ECON71-303,International Trade,Postgraduate
ECON71-600,Economics for Business,Postgraduate
ENFB71-104,Entrepreneurship and Innovation,Postgraduate
ENFB71-306,Bond Business Accelerator,Postgraduate
ENFB71-600,Entrepreneurship,Postgraduate
ENGL71-100,English for Professional Contexts,Postgraduate
EXEC70-017,Project Management,Postgraduate
EXEC70-040,Corporate Governance,Postgraduate
EXEC70-045,Executive Negotiation Strategies,Postgraduate
EXEC70-046,Mergers and Takeovers,Postgraduate
EXEC70-047,Management Consulting,Postgraduate
EXEC70-620,Individual Study in EMBA,Postgraduate
EXEC71-010,EMBA Orientation,Postgraduate
EXEC71-011,Understanding Self and Others,Postgraduate
EXEC71-013,Strategic Marketing,Postgraduate
EXEC71-014,Managerial Accounting,Postgraduate
EXEC71-015,Economics For Decision Making,Postgraduate
EXEC71-016,Financial Accounting and Analysis,Postgraduate
EXEC71-021,Strategy Analysis and Design,Postgraduate
EXEC71-022,Innovation and Growth,Postgraduate
EXEC71-023,Asia Study Tour,Postgraduate
EXEC71-024,Valuation,Postgraduate
EXEC71-025,Cross Cultural Management,Postgraduate
EXEC71-031,Strategic People Management and Organisational Change,Postgraduate
EXEC71-105,Leadership Skill Development,Postgraduate
EXEC71-106,Major Application Project,Postgraduate
EXEC71-201,Executive Leadership: Emerging Leadership Frameworks,Postgraduate
EXEC71-202,Executive Leadership: Leading Innovation,Postgraduate
EXEC71-300,Silicon Valley Study Tour,Postgraduate
EXEC71-620,Individual Study in EMBA,Postgraduate
FINC71-302,Finance Applications and Analysis,Postgraduate
FINC71-305,Derivative Products,Postgraduate
FINC71-318,Personal Investment,Postgraduate
FINC71-600,Managerial Finance,Postgraduate
FINC71-601,Corporate Finance,Postgraduate
FINC71-603,Investments,Postgraduate
FINC71-604,Capital Markets,Postgraduate
FINC71-607,International Financial Management,Postgraduate
FINC71-614,Mergers and Acquisitions,Postgraduate
FITV71-601,Film and Television Research Project 1,Postgraduate
FITV71-602,Film and Television Research Project 2,Postgraduate
FITV71-700,Film and Television Internship,Postgraduate
FSDO73-700,Internship A,Postgraduate
FULT71-110,Foundations of University Learning and Teaching,Postgraduate
GDLP70-010,GDLP Learning Intensive,Postgraduate
GDLP75-101,Commercial and Corporate Practice,Postgraduate
GDLP75-102,Property Law Practice,Postgraduate
GDLP75-103,Financial and Ethical Responsibilities,Postgraduate
GDLP75-104,Civil Litigation Practice,Postgraduate
GDLP75-110,Commercial and Corporate Practice,Postgraduate
GDLP75-120,Property Law Practice,Postgraduate
GDLP75-130,Financial and Ethical Responsibilities,Postgraduate
GDLP75-140,Civil Litigation Practice,Postgraduate
GDLP75-201,Law Placement 1,Postgraduate
GDLP75-202,Transition to Practice,Postgraduate
GDLP77-300,Law Placement 2,Postgraduate
GDLP77-301,Criminal Law Practice,Postgraduate
GDLP77-302,Family Law Practice,Postgraduate
GDLP77-303,Wills and Estates Practice,Postgraduate
GDLP77-304,Banking and Finance Practice,Postgraduate
GMBA70-102,Coaching Across Cultures for Managers,Postgraduate
GMBA70-103,Cross Cultural Business Communication,Postgraduate
GMBA70-104,Financing the Entrepreneurial Venture,Postgraduate
GMBA70-105,E-Business Strategy,Postgraduate
GMBA70-106,Business Model Design,Postgraduate
GMBA70-107,Management of Innovation,Postgraduate
GMBA70-108,Management Strategy and Policy,Postgraduate
GMBA70-109,Managing People and Organisations (Japanese),Postgraduate
GMBA70-110,Marketing Strategy,Postgraduate
GMBA70-111,Values Based Marketing,Postgraduate
GMBA70-112,Law for Global Managers,Postgraduate
GMBA70-207,Strategy and Innovation Part A,Postgraduate
GMBA70-208,Strategy and Innovation Part B,Postgraduate
GMBA70-209,Strategic Management,Postgraduate
GMBA70-210,Perspective on Strategy Development in a Real Business World,Postgraduate
GMBA70-301,Effective Leadership,Postgraduate
GMBA70-302,Effective Negotiation,Postgraduate
GMBA70-303,Effective Project Management,Postgraduate
GMBA70-304,Management Control Systems,Postgraduate
GMBA70-306,Business Planning for Entrepreneurial Ventures Part A,Postgraduate
GMBA70-307,Business Planning for Entrepreneurial Ventures Part B,Postgraduate
GMBA70-701,Business Internship 1,Postgraduate
GMBA71-108,English for Professional Contexts,Postgraduate
GMBA71-111,Marketing Management,Postgraduate
GMBA71-201,Accounting for Decision Making,Postgraduate
GMBA71-202,Data Analytics for Decision Making,Postgraduate
GMBA71-203,Economics for Managers,Postgraduate
GMBA71-204,Global Business Leadership,Postgraduate
GMBA71-205,Managerial Finance,Postgraduate
GMBA71-206,Marketing Management,Postgraduate
GMBA71-300,International Study Tour,Postgraduate
GMBA71-702,Business Internship 2,Postgraduate
HPER71-110,Evidence Based Practice and Policy,Postgraduate
HPER71-111,Health Systems: Australia and International,Postgraduate
HPER71-112,Knowledge Translation and Quality in Health Care,Postgraduate
HPER71-113,Generating Evidence Using Research Methods,Postgraduate
HPER71-114,Educating the Health Workforce in the 21st Century,Postgraduate
HPER71-115,Systematic Review,Postgraduate
HPER71-116,Planetary Health,Postgraduate
HPER71-117,Sustainable Healthcare,Postgraduate
HPER72-300,Capstone Placement and Project,Postgraduate
HRTM71-205,Strategic Pricing and Revenue Management,Postgraduate
HRTM71-206,Tourism Analysis and Evaluation,Postgraduate
HRTM71-209,Event Management,Postgraduate
HRTM71-212,WHS Risk Management,Postgraduate
HRTM71-214,Adventure Tourism,Postgraduate
HRTM71-220,Sustainable Tourism and Indigenous Cultures,Postgraduate
HUMR71-100,Research Methods,Postgraduate
HUMR71-110,Epistemology and Theory of Knowledge,Postgraduate
HUMR71-111,Research Methods (USEd),Postgraduate
HUMR71-705,Research Project A,Postgraduate
HUMR71-706,Research Project B,Postgraduate
HUMR71-707,Minor Dissertation/Portfolio C,Postgraduate
HUMR71-708,Minor Dissertation/Portfolio D,Postgraduate
HUMR72-701,Major Research Project (Part A),Postgraduate
HUMR72-702,Major Research Project (Part B),Postgraduate
IBUS71-104,Business in the Global Economy,Postgraduate
IBUS71-301,Strategy,Postgraduate
IBUS71-313,Europe Study Tour,Postgraduate
IBUS71-314,Asia Study Tour,Postgraduate
IBUS71-602,Global Business,Postgraduate
IBUS71-610,Doing Business Globally,Postgraduate
INFT71-104,Health Analytics and Data Management,Postgraduate
INFT71-122,Business Analytics Coding,Postgraduate
INFT71-216,Data Science,Postgraduate
INFT71-326,Statistical Learning and Regression Models,Postgraduate
INFT71-327,Advanced Big Data Projects and Case Study,Postgraduate
INTR71-102,Security and Strategy,Postgraduate
INTR71-103,Public Policy,Postgraduate
INTR71-104,Innovating Global Governance,Postgraduate
INTR71-208,Diplomacy,Postgraduate
INTR71-315,Politically Motivated Violence,Postgraduate
INTR71-340,Strategic Asia,Postgraduate
INTR71-350,Human Security and Global Development,Postgraduate
INTR71-700,International Relations Internship and Portfolio,Postgraduate
INTR73-100,Professional Portfolio,Postgraduate
INTR74-401,China Study Program,Postgraduate
JOUR71-100,Advanced News Writing,Postgraduate
LAWS70-103,"Advanced Legal Reasoning, Research and Writing",Postgraduate
LAWS70-110,Australian Legal System,Postgraduate
LAWS71-100,Business Law,Postgraduate
LAWS71-101,Law of Commercial Entities,Postgraduate
LAWS75-102,"Advanced Legal Reasoning, Research and Writing",Postgraduate
LAWS75-105,Legal Foundations A,Postgraduate
LAWS75-106,Legal Foundations B,Postgraduate
LAWS75-107,Foundations of Private Law,Postgraduate
LAWS75-108,Foundations of Public and Criminal Law,Postgraduate
LAWS75-110,Australian Legal System,Postgraduate
LAWS75-111,Legal Skills,Postgraduate
LAWS75-201,Contract Law A,Postgraduate
LAWS75-202,Tort Law,Postgraduate
LAWS75-203,Criminal Law,Postgraduate
LAWS75-204,Property Law A,Postgraduate
LAWS75-210,Law of Civil Remedies,Postgraduate
LAWS75-211,Principles of Tortious Liability,Postgraduate
LAWS75-212,Principles of Contractual Liability,Postgraduate
LAWS75-213,Law of Obligations,Postgraduate
LAWS75-214,Criminal Law and Procedure A,Postgraduate
LAWS75-215,Criminal Law and Procedure B,Postgraduate
LAWS75-216,Constitutional Law,Postgraduate
LAWS75-217,Contract Law B,Postgraduate
LAWS75-218,Property Law B,Postgraduate
LAWS75-310,Corporate Law,Postgraduate
LAWS75-311,Property Law,Postgraduate
LAWS75-312,Land Law,Postgraduate
LAWS75-313,Equity,Postgraduate
LAWS75-314,Personal Property Transactions,Postgraduate
LAWS75-315,Business Associations,Postgraduate
LAWS75-316,Corporations Law,Postgraduate
LAWS75-317,Administrative Law,Postgraduate
LAWS75-318,Evidence,Postgraduate
LAWS75-319,Civil Procedure,Postgraduate
LAWS75-320,Legal Ethics and Professional Conduct,Postgraduate
LAWS75-321,Bookkeeping and Trust Accounts,Postgraduate
LAWS75-325,Civil Dispute Resolution,Postgraduate
LAWS75-326,Legal Profession,Postgraduate
LAWS77-101,Common Law and Legal Skills,Postgraduate
LAWS77-110,The Digital Lawyer,Postgraduate
LAWS77-111,Malaysian Law and Practice,Postgraduate
LAWS77-117,Insolvency Law and Practice,Postgraduate
LAWS77-120,Law and Investment in China,Postgraduate
LAWS77-203,Franchising and Small Business Law,Postgraduate
LAWS77-219,International Emissions Trading Law,Postgraduate
LAWS77-452,International Tourism Law,Postgraduate
LAWS77-498,Taxation of International Business,Postgraduate
LAWS77-511,The Global Lawyer,Postgraduate
LAWS77-515,Clinical Legal Placement,Postgraduate
LAWS77-516,Electronic Commerce Law,Postgraduate
LAWS77-517,Equitable Remedies,Postgraduate
LAWS77-518,Family Law,Postgraduate
LAWS77-521,Global Sports Law and Governance,Postgraduate
LAWS77-525,Law and Medicine,Postgraduate
LAWS77-528,Taxation Law,Postgraduate
LAWS77-529,Advanced Dispute Resolution,Postgraduate
LAWS77-534,Canadian Administrative Law,Postgraduate
LAWS77-535,Canadian Constitutional Law,Postgraduate
LAWS77-536,Canadian Criminal Law and Procedure,Postgraduate
LAWS77-537,Foundations of Canadian Law,Postgraduate
LAWS77-548,Employment and Labour Relations Law,Postgraduate
LAWS77-551,Family Law Legal Practice Clinic,Postgraduate
LAWS77-552,Global Investment Banking Law,Postgraduate
LAWS77-556,Information Technology and the Law,Postgraduate
LAWS77-557,International Environmental Law,Postgraduate
LAWS77-561,Law of Succession and Administration of Estates,Postgraduate
LAWS77-562,Legal Drafting and Conveyancing,Postgraduate
LAWS77-565,Taxation of Business Entities,Postgraduate
LAWS77-569,School Governance Law 1,Postgraduate
LAWS77-570,Public International Law: Challenges and Opportunities,Postgraduate
LAWS77-571,Advanced Criminal Law,Postgraduate
LAWS77-572,Philosophical Foundations of Law,Postgraduate
LAWS77-573,Start-Up Law,Postgraduate
LAWS77-574,Litigation Clinic,Postgraduate
LAWS77-575,Rural and Regional Legal Practice,Postgraduate
LAWS77-576,Legal Aspects of Electronic Commerce,Postgraduate
LAWS77-577,Fundamentals of Intellectual Property Law,Postgraduate
LAWS77-578,International Commercial Dispute Resolution,Postgraduate
LAWS77-579,International Corporate Law,Postgraduate
LAWS77-580,International Sales and Transport Law,Postgraduate
